gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,84017313.0,84,17313.0,3.1388397216796875,79.79757085020242,6729107.875,84,17313.0,0,10,74,0,0,2990,2080,8900,1000,0
2,58088493.5,58,88493.5,4.510844945907593,91.7408906882591,18961891.3125,58,88493.5,1,35,22,0,0,3330,1800,9000,1600,70000
3,52114396.5,52,114396.5,3.926326274871826,83.60323886639677,12480869.375,52,114396.5,0,40,12,0,0,3610,1800,9100,1800,95000
4,42109989.25,42,109989.25,2.010882616043091,89.91902834008097,4987677.5625,42,109989.25,1,36,5,0,0,3720,2120,9700,1600,90000
5,33114705.5,33,114705.5,1.7556262016296387,40.121457489878544,4246516.125,33,114705.5,1,31,1,0,0,3510,2000,9600,1700,95000
6,27104803.5,27,104803.5,2.1800200939178467,38.82591093117409,3752638.0,27,104803.5,1,26,0,0,0,3520,2080,9900,1600,85000
7,23099661.0,23,99661.0,1.9557783603668213,19.79757085020243,3750234.4375,23,99661.0,0,23,0,0,0,3650,2160,9800,1400,80000
8,23099661.0,23,99661.0,2.1816632747650146,20.93117408906883,494944.0625,23,99661.0,0,23,0,0,0,3650,2160,9800,1400,80000
9,23099661.0,23,99661.0,2.4942286014556885,14.37246963562753,1247500.0,23,99661.0,0,23,0,0,0,3650,2160,9800,1400,80000
10,19124089.5,19,124089.5,3.424598455429077,33.11740890688259,2995123.8125,19,124089.5,1,16,2,0,0,3040,1840,9600,1700,105000
11,14115393.5,14,115393.5,2.8347811698913574,41.13360323886639,2248907.0,14,115393.5,0,14,0,0,0,3670,2040,9900,1700,95000
12,12114771.5,12,114771.5,1.9634082317352295,10.97165991902834,2500036.125,12,114771.5,0,12,0,0,0,3670,2000,9500,1600,95000
13,8125298.5,8,125298.5,1.6288254261016846,22.02429149797571,1200136.9,8,125298.5,0,8,0,0,0,3380,2040,10300,1600,105000
14,7125358.5,7,125358.5,1.5413260459899902,14.048582995951417,1250145.625,7,125358.5,0,6,1,0,0,3340,1960,10300,1800,105000
15,4129626.5,4,129626.5,2.0128750801086426,14.331983805668017,2749188.75,4,129626.5,0,3,1,0,0,3400,2000,9700,1600,110000
16,3124291.0,3,124291.0,3.0671370029449463,20.52631578947368,503852.5,3,124291.0,0,3,0,0,0,3380,2000,9500,1400,105000
17,2120678.5,2,120678.5,2.6137073040008545,24.736842105263154,753402.0,2,120678.5,0,2,0,0,0,4030,2040,10000,1600,100000
18,1129231.0,1,129231.0,2.14648699760437,37.40890688259109,233.75,1,129231.0,0,1,0,0,0,3300,1960,9600,1500,110000
19,1124321.0,1,124321.0,3.48363995552063,3.4412955465587043,1353.125,1,124321.0,0,0,1,0,0,3300,1920,9700,1500,105000
20,124301.0,0,124301.0,2.0968220233917236,10.728744939271255,751204.375,0,124301.0,0,0,0,0,0,3300,1920,9700,1500,105000
21,119591.5,0,119591.5,2.1833460330963135,15.829959514170039,2895.785714285714,0,119591.5,0,0,0,0,0,3570,2000,9700,1400,100000
22,113899.0,0,113899.0,2.0357282161712646,13.96761133603239,5306.875,0,113899.0,0,0,0,0,0,3380,1920,9600,1300,95000
23,99033.5,0,99033.5,2.8853092193603516,20.850202429149796,7537.375,0,99033.5,0,0,0,0,0,3430,1800,9300,1700,80000
24,99033.5,0,99033.5,2.617830991744995,11.133603238866394,1204.375,0,99033.5,0,0,0,0,0,3430,1800,9300,1700,80000
25,98836.0,0,98836.0,2.3533849716186523,11.336032388663968,3100.5,0,98836.0,0,0,0,0,0,3340,1800,9200,1700,80000
26,93471.5,0,93471.5,3.7013306617736816,9.757085020242915,3723.875,0,93471.5,0,0,0,0,0,3150,1880,9100,1300,75000
27,88661.5,0,88661.5,2.6513335704803467,34.49392712550608,3781.25,0,88661.5,0,0,0,0,0,3320,1840,9200,1300,70000
28,88661.5,0,88661.5,2.0793259143829346,23.724696356275306,1341.875,0,88661.5,0,0,0,0,0,3320,1840,9200,1300,70000
29,82664.0,0,82664.0,2.1256909370422363,6.0728744939271255,2775.0,0,82664.0,0,0,0,0,0,3020,1680,8800,1300,65000
30,77286.5,0,77286.5,2.2066915035247803,21.214574898785425,2658.125,0,77286.5,0,0,0,0,0,2950,1640,8600,1300,60000
31,77206.5,0,77206.5,2.208092451095581,1.214574898785425,1185.0,0,77206.5,0,0,0,0,0,2950,1680,8600,1200,60000
32,77009.0,0,77009.0,2.626636266708374,2.8744939271255063,1263.875,0,77009.0,0,0,0,0,0,2770,1640,8600,1200,60000
33,67461.0,0,67461.0,2.7782390117645264,5.1417004048583,1310.0,0,67461.0,0,0,0,0,0,2820,1640,8700,1300,50000
34,67361.0,0,67361.0,4.192589998245239,2.024291497975708,1699.1666666666667,0,67361.0,0,0,0,0,0,2820,1640,8600,1300,50000
35,67133.5,0,67133.5,2.84045147895813,3.9271255060728745,3043.0,0,67133.5,0,0,0,0,0,2730,1600,8600,1200,50000
36,52246.0,0,52246.0,2.88790225982666,3.5222672064777325,205.25,0,52246.0,0,0,0,0,0,2930,1600,8600,1400,35000
37,52174.0,0,52174.0,2.93862247467041,7.611336032388663,80.5,0,52174.0,0,0,0,0,0,2940,1600,8600,1400,35000
38,52096.0,0,52096.0,2.406310558319092,2.591093117408907,1329.9375,0,52096.0,0,0,0,0,0,2820,1560,8600,1400,35000
39,47106.25,0,47106.25,2.5279042720794678,2.550607287449392,0.0,0,47106.25,0,0,0,0,0,2960,1640,8500,1400,30000
40,47106.25,0,47106.25,2.191223621368408,4.696356275303644,1192.5,0,47106.25,0,0,0,0,0,2960,1640,8500,1400,30000
41,46936.25,0,46936.25,2.0901989936828613,0.8906882591093118,61.875,0,46936.25,0,0,0,0,0,2780,1640,8500,1400,30000
42,46896.25,0,46896.25,2.565908908843994,2.7125506072874495,8.0,0,46896.25,0,0,0,0,0,2770,1680,8500,1400,30000
43,46731.25,0,46731.25,2.6959047317504883,6.720647773279352,49.375,0,46731.25,0,0,0,0,0,2780,1640,8400,1400,30000
44,46731.25,0,46731.25,4.49513578414917,4.37246963562753,46.333333333333336,0,46731.25,0,0,0,0,0,2780,1640,8400,1400,30000
45,46535.75,0,46535.75,2.5193793773651123,5.8299595141700395,21.875,0,46535.75,0,0,0,0,0,2670,1600,8500,1300,30000
46,46535.75,0,46535.75,2.1437652111053467,6.680161943319837,40.0,0,46535.75,0,0,0,0,0,2670,1600,8500,1300,30000
47,46460.75,0,46460.75,1.7560310363769531,3.0364372469635628,65.0,0,46460.75,0,0,0,0,0,2570,1520,8500,1400,30000
48,46295.75,0,46295.75,1.9694020748138428,1.9028340080971662,1036.5,0,46295.75,0,0,0,0,0,2670,1560,8300,1300,30000
49,41198.25,0,41198.25,1.7440826892852783,5.060728744939271,1207.5,0,41198.25,0,0,0,0,0,2560,1560,8300,1300,25000
50,41198.25,0,41198.25,2.0672292709350586,8.299595141700406,2482.5,0,41198.25,0,0,0,0,0,2560,1560,8300,1300,25000
51,36245.75,0,36245.75,2.670576333999634,2.7935222672064777,10.0,0,36245.75,0,0,0,0,0,2630,1560,8300,1200,20000
52,36245.75,0,36245.75,2.9574403762817383,1.3765182186234817,2.5,0,36245.75,0,0,0,0,0,2630,1560,8300,1200,20000
53,36245.75,0,36245.75,2.0452218055725098,0.0,5.0,0,36245.75,0,0,0,0,0,2630,1560,8300,1200,20000
54,36115.75,0,36115.75,2.1645052433013916,1.214574898785425,1322.5,0,36115.75,0,0,0,0,0,2630,1560,8200,1200,20000
55,31085.75,0,31085.75,1.995260238647461,1.5384615384615385,3.75,0,31085.75,0,0,0,0,0,2540,1480,8300,1200,15000
56,31085.75,0,31085.75,1.7840309143066406,0.2834008097165992,4.0,0,31085.75,0,0,0,0,0,2540,1480,8300,1200,15000
57,31065.75,0,31065.75,2.4936728477478027,0.8502024291497976,0.0,0,31065.75,0,0,0,0,0,2540,1480,8300,1200,15000
58,31040.75,0,31040.75,1.7036278247833252,1.214574898785425,31.25,0,31040.75,0,0,0,0,0,2670,1560,8300,1100,15000
59,30965.75,0,30965.75,1.94020414352417,1.7004048582995954,25.0,0,30965.75,0,0,0,0,0,2540,1480,8200,1200,15000
60,30965.75,0,30965.75,1.9400694370269775,1.3765182186234817,55.0,0,30965.75,0,0,0,0,0,2540,1480,8200,1200,15000
61,30745.75,0,30745.75,1.7379040718078613,2.5101214574898787,3.125,0,30745.75,0,0,0,0,0,2520,1480,8200,1100,15000
62,30745.75,0,30745.75,1.888664960861206,3.765182186234818,2498.125,0,30745.75,0,0,0,0,0,2520,1480,8200,1100,15000
63,25640.75,0,25640.75,1.8521239757537842,2.2267206477732797,0.0,0,25640.75,0,0,0,0,0,2500,1480,8200,1000,10000
64,25640.75,0,25640.75,1.675032377243042,0.5668016194331984,22.0,0,25640.75,0,0,0,0,0,2500,1480,8200,1000,10000
65,20755.75,0,20755.75,2.0960195064544678,3.1578947368421053,20.625,0,20755.75,0,0,0,0,0,2670,1520,8200,900,5000
66,20485.75,0,20485.75,2.1042215824127197,4.534412955465586,1378.125,0,20485.75,0,0,0,0,0,2520,1480,8100,900,5000
67,15693.25,0,15693.25,3.371234655380249,2.348178137651822,13.125,0,15693.25,0,0,0,0,0,2600,1440,8300,900,0
68,15683.25,0,15683.25,2.726700782775879,2.2672064777327936,26.0,0,15683.25,0,0,0,0,0,2590,1440,8300,900,0
69,15595.75,0,15595.75,2.5106725692749023,3.8056680161943315,9.6875,0,15595.75,0,0,0,0,0,2600,1440,8200,900,0
70,15595.75,0,15595.75,3.6457889080047607,0.2834008097165992,50.0,0,15595.75,0,0,0,0,0,2600,1440,8200,900,0
