gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,37077296.5,37,77296.5,13.017021179199219,97.65182186234819,9488601.75,37,77296.5,0,17,20,0,0,2230,1680,9200,1400,60000
2,21087614.5,21,87614.5,10.145671129226685,97.81376518218623,5658450.958333333,21,87614.5,1,13,7,0,0,3000,1440,8800,1500,70000
3,17129380.0,17,129380.0,9.587249755859375,97.81376518218623,1414471.6458333333,17,129380.0,0,10,7,0,0,3610,1920,9100,1900,110000
4,5107293.0,5,107293.0,10.303394556045532,97.12550607287449,2418421.4583333335,5,107293.0,0,2,3,0,0,3260,1760,8400,1300,90000
5,3087231.5,3,87231.5,10.703240394592285,98.58299595141699,835882.2708333334,3,87231.5,0,1,2,0,0,3300,1880,8200,1200,70000
6,2102718.0,2,102718.0,9.258867263793945,95.22267206477733,580433.125,2,102718.0,0,0,2,0,0,3660,1920,8000,1400,85000
7,2097802.0,2,97802.0,8.94999384880066,97.48987854251013,749131.4166666666,2,97802.0,0,1,1,0,0,3050,1560,8800,1600,80000
8,1088084.25,1,88084.25,9.535057306289673,99.14979757085021,168423.8125,1,88084.25,0,0,1,0,0,3130,1680,9100,1500,70000
9,82401.5,0,82401.5,9.70050597190857,98.94736842105264,332287.6875,0,82401.5,0,0,0,0,0,2240,1640,9000,1600,65000
10,76619.0,0,76619.0,8.819608211517334,95.66801619433195,84687.83333333333,0,76619.0,0,0,0,0,0,2320,1720,8600,1500,60000
11,70993.75,0,70993.75,8.421736240386963,89.83805668016196,1374.6041666666667,0,70993.75,0,0,0,0,0,2190,1520,8300,1500,55000
12,67220.0,0,67220.0,11.971357583999634,91.94331983805668,168258.58333333334,0,67220.0,0,0,0,0,0,3370,1640,8500,1300,50000
13,55463.75,0,55463.75,14.293383359909058,90.76923076923077,1720.5833333333333,0,55463.75,0,0,0,0,0,2410,1600,7800,1300,40000
14,50191.5,0,50191.5,9.975072383880615,92.71255060728745,893.0208333333334,0,50191.5,0,0,0,0,0,2640,1560,7300,1200,35000
15,34654.0,0,34654.0,8.570691108703613,94.00809716599191,1786.4583333333333,0,34654.0,0,0,0,0,0,2420,1560,7000,1200,20000
16,29712.0,0,29712.0,11.203724145889282,90.60728744939273,413.5,0,29712.0,0,0,0,0,0,2570,1480,6900,1200,15000
17,29712.0,0,29712.0,12.527753829956055,94.12955465587044,83756.29166666667,0,29712.0,0,0,0,0,0,2570,1480,6900,1200,15000
18,29455.5,0,29455.5,10.676056385040283,98.50202429149797,455.7083333333333,0,29455.5,0,0,0,0,0,2710,1600,6700,1100,15000
19,29093.0,0,29093.0,9.691056489944458,92.95546558704453,563.3958333333334,0,29093.0,0,0,0,0,0,2430,1480,6700,1100,15000
20,29093.0,0,29093.0,8.944928646087646,91.86234817813765,47.0,0,29093.0,0,0,0,0,0,2430,1480,6700,1100,15000
21,28997.0,0,28997.0,10.244256496429443,94.89878542510122,1212.6666666666667,0,28997.0,0,0,0,0,0,2370,1520,6800,1000,15000
22,23697.0,0,23697.0,22.289743900299072,98.8663967611336,458.9583333333333,0,23697.0,0,0,0,0,0,2190,1560,6600,1000,10000
23,18391.0,0,18391.0,13.97895359992981,98.50202429149797,476.125,0,18391.0,0,0,0,0,0,2160,1560,6400,1000,5000
24,18313.5,0,18313.5,10.027965545654297,95.4655870445344,875.5416666666666,0,18313.5,0,0,0,0,0,2170,1480,6500,900,5000
25,18303.5,0,18303.5,9.067311763763428,89.87854251012145,4.583333333333333,0,18303.5,0,0,0,0,0,2080,1440,6600,900,5000
26,18003.5,0,18003.5,8.768662214279175,84.41295546558705,933.7708333333334,0,18003.5,0,0,0,0,0,2080,1440,6300,900,5000
27,17606.0,0,17606.0,8.476807832717896,91.65991902834008,33.125,0,17606.0,0,0,0,0,0,2120,1400,6000,900,5000
28,17606.0,0,17606.0,9.221441745758057,97.77327935222672,27.0,0,17606.0,0,0,0,0,0,2120,1400,6000,900,5000
29,17606.0,0,17606.0,10.90653133392334,88.21862348178138,861.25,0,17606.0,0,0,0,0,0,2120,1400,6000,900,5000
30,17527.25,0,17527.25,11.44631838798523,89.87854251012146,8.229166666666666,0,17527.25,0,0,0,0,0,1920,1400,6200,1000,5000
31,17527.25,0,17527.25,11.887675046920776,93.19838056680163,6.770833333333333,0,17527.25,0,0,0,0,0,1920,1400,6200,1000,5000
32,17437.25,0,17437.25,10.625080347061157,90.12145748987854,44.375,0,17437.25,0,0,0,0,0,1920,1400,6100,1000,5000
33,17437.25,0,17437.25,11.023146867752075,88.98785425101214,30.625,0,17437.25,0,0,0,0,0,1920,1400,6100,1000,5000
34,17403.5,0,17403.5,9.712882041931152,97.85425101214574,428.8541666666667,0,17403.5,0,0,0,0,0,1970,1400,5900,1000,5000
35,17396.75,0,17396.75,19.0757315158844,93.84615384615384,4.9375,0,17396.75,0,0,0,0,0,2120,1440,5800,1000,5000
36,17296.75,0,17296.75,9.432178497314453,91.65991902834007,376.625,0,17296.75,0,0,0,0,0,2120,1440,5700,1000,5000
37,17296.75,0,17296.75,8.595227718353271,93.27935222672066,8.333333333333334,0,17296.75,0,0,0,0,0,2120,1440,5700,1000,5000
38,16955.5,0,16955.5,11.910380601882935,91.13360323886639,437.8333333333333,0,16955.5,0,0,0,0,0,1750,1320,5700,1000,5000
39,16950.5,0,16950.5,9.212958812713623,88.17813765182187,1.2083333333333333,0,16950.5,0,0,0,0,0,1820,1360,5700,900,5000
40,16950.5,0,16950.5,12.841520071029663,85.4655870445344,8.541666666666666,0,16950.5,0,0,0,0,0,1820,1360,5700,900,5000
