gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,19099254.25,19,99254.25,17.817701816558838,99.62962962962963,9076103.075,19,99254.25,0,7,11,0,0,3740,1920,9500,1400,80000
2,7103851.5,7,103851.5,18.843081951141357,96.95473251028807,3736240.65,7,103851.5,0,4,3,0,0,3120,1840,9300,1900,85000
3,2093257.75,2,93257.75,18.085795640945435,99.21810699588477,1649606.625,2,93257.75,0,0,2,0,0,3720,1800,9100,1300,75000
4,1098219.5,1,98219.5,18.538097381591797,97.40740740740742,402655.25,1,98219.5,0,0,1,0,0,3870,1920,8400,1400,80000
5,72415.0,0,72415.0,18.296192407608032,97.98353909465021,349526.6375,0,72415.0,0,0,0,0,0,3680,1720,8200,1500,55000
6,66604.0,0,66604.0,18.135271787643433,98.64197530864199,7588.25,0,66604.0,0,0,0,0,0,3140,1600,8300,1400,50000
7,72015.0,0,72015.0,18.65966033935547,97.32510288065843,101058.825,0,72015.0,0,0,0,0,0,3330,1800,8000,1400,55000
8,66188.5,0,66188.5,18.550600051879883,96.8312757201646,2062.475,0,66188.5,0,0,0,0,0,2970,1720,7600,1700,50000
9,71914.0,0,71914.0,18.61496353149414,98.93004115226336,2035.925,0,71914.0,0,0,0,0,0,3350,1720,7800,1600,55000
10,46401.75,0,46401.75,18.47896432876587,98.76543209876543,2272.6375,0,46401.75,0,0,0,0,0,2860,1880,7800,1700,30000
11,46053.0,0,46053.0,18.662140130996704,96.99588477366255,1003.55,0,46053.0,0,0,0,0,0,2620,1880,7600,1500,30000
12,35338.5,0,35338.5,18.712455987930298,98.35390946502058,834.425,0,35338.5,0,0,0,0,0,2610,1600,7300,1700,20000
13,35631.5,0,35631.5,18.218978881835938,98.2716049382716,456.525,0,35631.5,0,0,0,0,0,2670,1800,7300,1700,20000
14,35541.5,0,35541.5,18.289206743240356,99.50617283950616,1035.475,0,35541.5,0,0,0,0,0,2670,1800,7200,1700,20000
15,35357.5,0,35357.5,18.551291704177856,98.0246913580247,581.325,0,35357.5,0,0,0,0,0,2520,1760,7200,1700,20000
16,35357.5,0,35357.5,18.303691387176514,98.14814814814815,27.6375,0,35357.5,0,0,0,0,0,2520,1760,7200,1700,20000
17,40442.5,0,40442.5,18.25373935699463,93.25102880658436,26.8625,0,40442.5,0,0,0,0,0,2520,1800,7100,1800,25000
18,39995.5,0,39995.5,17.960788249969482,84.03292181069958,14.85,0,39995.5,0,0,0,0,0,2420,1720,6900,1700,25000
19,35945.5,0,35945.5,18.371790170669556,93.00411522633745,948.725,0,35945.5,0,0,0,0,0,2840,1760,7200,1700,20000
20,30757.5,0,30757.5,18.308151960372925,93.7448559670782,287.5,0,30757.5,0,0,0,0,0,2800,1720,7000,1800,15000
21,30501.5,0,30501.5,18.12588381767273,96.25514403292182,267.8375,0,30501.5,0,0,0,0,0,2750,1840,6900,1600,15000
