gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,14131743.0,14,131743.0,139.40596890449524,99.59183673469389,51687329.99375,14,131743.0,0,2,12,0,0,3350,1920,7000,1600,115000
2,3151819.0,3,151819.0,96.66810464859009,99.75510204081631,4347906.49375,3,151819.0,0,0,3,0,0,2870,1880,7700,1700,135000
3,2111523.5,2,111523.5,79.50898265838623,99.3061224489796,749507.24375,2,111523.5,0,0,2,0,0,2690,2000,7700,1500,95000
4,1071468.0,1,71468.0,83.44846773147583,99.63265306122449,76866.5,1,71468.0,0,0,1,0,0,2610,1680,7800,1800,55000
5,1071468.0,1,71468.0,85.89935255050659,99.26530612244898,374354.125,1,71468.0,0,0,1,0,0,2610,1680,7800,1800,55000
6,102160.5,0,102160.5,81.63453817367554,99.59183673469389,450163.91875,0,102160.5,0,0,0,0,0,2900,1920,7700,1900,85000
7,81117.5,0,81117.5,84.10428643226624,99.42857142857143,298988.7625,0,81117.5,0,0,0,0,0,2960,1960,7000,1400,65000
8,65573.0,0,65573.0,79.29415535926819,98.36734693877551,352009.8375,0,65573.0,0,0,0,0,0,2650,1840,7200,1400,50000
9,65443.0,0,65443.0,80.70675444602966,98.77551020408163,200354.85,0,65443.0,0,0,0,0,0,2550,1840,7000,1600,50000
10,54971.5,0,54971.5,79.43556785583496,99.26530612244898,50404.975,0,54971.5,0,0,0,0,0,2440,1720,6700,1700,40000
11,54971.5,0,54971.5,79.14441418647766,98.93877551020408,375693.7625,0,54971.5,0,0,0,0,0,2440,1720,6700,1700,40000
12,49637.5,0,49637.5,79.61726689338684,99.18367346938774,152261.96875,0,49637.5,0,0,0,0,0,2300,1760,6500,1800,35000
13,49557.5,0,49557.5,84.62401342391968,99.18367346938774,150348.35625,0,49557.5,0,0,0,0,0,2260,1720,6500,1800,35000
14,48713.5,0,48713.5,81.6673333644867,99.59183673469389,198055.36875,0,48713.5,0,0,0,0,0,2220,1640,6200,1500,35000
15,43581.0,0,43581.0,84.17952418327332,99.38775510204081,124431.35,0,43581.0,0,0,0,0,0,2170,1760,6000,1500,30000
16,23971.25,0,23971.25,81.2168333530426,99.34693877551022,426216.9,0,23971.25,0,0,0,0,0,2370,1640,6200,1500,10000
17,23731.25,0,23731.25,81.77970314025879,99.26530612244898,174347.775,0,23731.25,0,0,0,0,0,2490,1680,5900,1400,10000
18,28250.75,0,28250.75,85.57373976707458,98.44897959183673,75256.66875,0,28250.75,0,0,0,0,0,2670,1720,5400,1400,15000
19,23540.5,0,23540.5,85.61020636558533,99.51020408163266,376862.43125,0,23540.5,0,0,0,0,0,2730,1720,5600,1300,10000
20,23441.5,0,23441.5,80.17113137245178,99.59183673469386,400660.35625,0,23441.5,0,0,0,0,0,2650,1720,5600,1300,10000
21,23441.5,0,23441.5,82.70183801651001,99.59183673469386,299687.7625,0,23441.5,0,0,0,0,0,2650,1720,5600,1300,10000
22,23213.0,0,23213.0,86.30087637901306,98.73469387755101,50028.2125,0,23213.0,0,0,0,0,0,2330,1680,5600,1400,10000
23,23213.0,0,23213.0,82.20685625076294,99.26530612244898,248821.26875,0,23213.0,0,0,0,0,0,2330,1680,5600,1400,10000
24,22776.5,0,22776.5,83.01657748222351,97.75510204081634,250879.1625,0,22776.5,0,0,0,0,0,2350,1600,5400,1400,10000
25,28037.25,0,28037.25,83.91848039627075,99.55102040816325,450557.95,0,28037.25,0,0,0,0,0,2110,1640,5300,1700,15000
26,17601.75,0,17601.75,84.50567483901978,97.34693877551018,299422.875,0,17601.75,0,0,0,0,0,1810,1480,5600,1500,5000
27,17601.75,0,17601.75,84.00561332702637,96.44897959183673,493.9625,0,17601.75,0,0,0,0,0,1810,1480,5600,1500,5000
28,22596.75,0,22596.75,88.1744282245636,99.67346938775509,523779.6375,0,22596.75,0,0,0,0,0,1830,1520,5500,1500,10000
29,22596.75,0,22596.75,87.16050338745117,99.79591836734694,98826.75,0,22596.75,0,0,0,0,0,1830,1520,5500,1500,10000
