pop_size,mutation_rate,sa_iterations,sa_cooling,time_sec,hard_score,soft_score
20,0.3,500,0.95,861.38,0,18086.5
20,0.3,500,0.95,864.31,0,18182.0
20,0.3,500,0.98,804.16,0,18661.5
20,0.3,500,0.98,807.43,0,24289.25
20,0.3,1500,0.95,2434.25,0,15431.5
20,0.3,1500,0.95,2450.78,0,16105.0
20,0.3,1500,0.98,2423.74,0,16207.0
20,0.3,1500,0.98,2474.4,0,15897.5
20,0.6,500,0.95,787.7,0,29177.0
20,0.6,500,0.95,788.3,0,28418.5
20,0.6,500,0.98,809.84,0,30121.5
20,0.6,500,0.98,829.51,0,29238.0
20,0.6,1500,0.95,2382.24,0,15888.0
20,0.6,1500,0.95,2396.82,0,15965.5
20,0.6,1500,0.98,2437.06,0,16354.0
20,0.6,1500,0.98,2436.23,0,11386.25
40,0.3,500,0.95,1520.77,0,23146.0
40,0.3,500,0.95,1477.64,0,13997.5
40,0.3,500,0.98,1556.82,0,14454.5
40,0.3,500,0.98,1512.62,0,24681.0
40,0.3,1500,0.95,4641.51,0,16471.25
40,0.3,1500,0.95,4465.64,0,11427.5
40,0.3,1500,0.98,4678.32,0,11315.0
40,0.3,1500,0.98,4634.9,0,11903.0
40,0.6,500,0.95,1476.87,0,28270.0
40,0.6,500,0.95,1482.4,0,18603.25
40,0.6,500,0.98,1466.01,0,35867.25
40,0.6,500,0.98,1461.63,0,30878.0
40,0.6,1500,0.95,4390.16,0,16419.0
40,0.6,1500,0.95,4339.09,0,11721.0
40,0.6,1500,0.98,3533.78,0,11339.25
40,0.6,1500,0.98,3559.69,0,11338.5
