gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,9140807.5,9,140807.5,28.91855216026306,0,0,9,140807.5,0,2,7,0,0,2810,1600,7600,1300,125000
2,2060770.75,2,60770.75,28.459495306015015,0,0,2,60770.75,0,1,1,0,0,2760,1720,7200,1700,45000
3,49649.0,0,49649.0,27.069329023361206,0,0,0,49649.0,0,0,0,0,0,2430,1800,6300,1600,35000
4,34189.75,0,34189.75,27.430214405059814,0,0,0,34189.75,0,0,0,0,0,2320,1680,6200,1800,20000
5,28138.0,0,28138.0,27.691975593566895,0,0,0,28138.0,0,0,0,0,0,1530,1560,5800,1800,15000
6,22508.0,0,22508.0,27.707945585250854,0,0,0,22508.0,0,0,0,0,0,1370,1720,5800,1300,10000
7,22343.5,0,22343.5,26.851597547531128,0,0,0,22343.5,0,0,0,0,0,1560,1720,5700,1200,10000
8,22676.25,0,22676.25,27.773837566375732,0,0,0,22676.25,0,0,0,0,0,1630,1720,5600,1700,10000
9,11650.75,0,11650.75,29.77446985244751,0,0,0,11650.75,0,0,0,0,0,1540,1520,5400,1300,0
10,11283.0,0,11283.0,30.67514204978943,0,0,0,11283.0,0,0,0,0,0,1320,1560,5400,1200,0
11,11083.25,0,11083.25,30.910584211349487,0,0,0,11083.25,0,0,0,0,0,1380,1360,5300,1200,0
12,21462.5,0,21462.5,30.12967872619629,0,0,0,21462.5,0,0,0,0,0,1290,1480,5100,1500,10000
13,21462.0,0,21462.0,31.387742519378662,0,0,0,21462.0,0,0,0,0,0,1310,1480,5100,1500,10000
14,15914.5,0,15914.5,29.083354711532593,0,0,0,15914.5,0,0,0,0,0,1420,1520,4700,1300,5000
15,15902.5,0,15902.5,29.439233779907227,0,0,0,15902.5,0,0,0,0,0,1410,1560,4700,1300,5000
16,16012.0,0,16012.0,28.281084537506104,0,0,0,16012.0,0,0,0,0,0,1120,1480,4700,1600,5000
17,15571.75,0,15571.75,27.79071068763733,0,0,0,15571.75,0,0,0,0,0,1450,1480,4300,1400,5000
18,10626.0,0,10626.0,27.414645433425903,0,0,0,10626.0,0,0,0,0,0,1340,1600,4500,1300,0
19,10921.0,0,10921.0,28.008278131484985,0,0,0,10921.0,0,0,0,0,0,1370,1640,4500,1600,0
20,10425.25,0,10425.25,27.697479248046875,0,0,0,10425.25,0,0,0,0,0,1310,1640,4300,1400,0
21,10417.25,0,10417.25,28.23810315132141,0,0,0,10417.25,0,0,0,0,0,1300,1600,4200,1600,0
22,10432.5,0,10432.5,28.15693998336792,0,0,0,10432.5,0,0,0,0,0,1350,1640,4100,1600,0
23,10319.25,0,10319.25,27.77921748161316,0,0,0,10319.25,0,0,0,0,0,1350,1520,4000,1600,0
