gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,19081739.5,19,81739.5,10.04468059539795,0,0,19,81739.5,0,10,9,0,0,2640,1880,7900,1400,65000
2,6067129.5,6,67129.5,10.368330478668213,0,0,6,67129.5,0,2,4,0,0,3040,1640,8200,1600,50000
3,2071014.0,2,71014.0,10.482535123825073,0,0,2,71014.0,0,1,1,0,0,3090,1720,7100,1600,55000
4,1045040.75,1,45040.75,10.102991342544556,0,0,1,45040.75,0,1,0,0,0,2770,1480,7100,1500,30000
5,49417.25,0,49417.25,10.192683219909668,0,0,0,49417.25,0,0,0,0,0,2200,1440,6700,1500,35000
6,39249.75,0,39249.75,10.364094734191895,0,0,0,39249.75,0,0,0,0,0,2010,1560,6600,1500,25000
7,34179.5,0,34179.5,10.135374069213867,0,0,0,34179.5,0,0,0,0,0,2040,1600,6300,1600,20000
8,38644.0,0,38644.0,10.581113338470459,0,0,0,38644.0,0,0,0,0,0,2210,1640,6200,1300,25000
9,38711.75,0,38711.75,10.320848226547241,0,0,0,38711.75,0,0,0,0,0,2070,1720,6300,1300,25000
10,33559.25,0,33559.25,10.349780559539795,0,0,0,33559.25,0,0,0,0,0,2220,1600,5900,1500,20000
11,33995.75,0,33995.75,15.306406021118164,0,0,0,33995.75,0,0,0,0,0,2000,1680,6300,1500,20000
12,34060.25,0,34060.25,16.622947931289673,0,0,0,34060.25,0,0,0,0,0,2010,1680,6300,1700,20000
13,23979.0,0,23979.0,14.929731130599976,0,0,0,23979.0,0,0,0,0,0,2220,1680,6300,1600,10000
14,18721.0,0,18721.0,12.070581197738647,0,0,0,18721.0,0,0,0,0,0,2090,1640,6300,1500,5000
15,18721.0,0,18721.0,11.616799354553223,0,0,0,18721.0,0,0,0,0,0,2090,1640,6300,1500,5000
16,13063.25,0,13063.25,14.896788597106934,0,0,0,13063.25,0,0,0,0,0,2060,1640,6000,1100,0
17,12811.75,0,12811.75,11.760264873504639,0,0,0,12811.75,0,0,0,0,0,1950,1560,6000,1200,0
18,22893.75,0,22893.75,10.803041696548462,0,0,0,22893.75,0,0,0,0,0,2100,1640,5800,1300,10000
19,17925.25,0,17925.25,10.425349473953247,0,0,0,17925.25,0,0,0,0,0,2050,1720,5800,1300,5000
20,17820.5,0,17820.5,10.447739839553833,0,0,0,17820.5,0,0,0,0,0,1930,1680,5900,1300,5000
21,22246.75,0,22246.75,10.60054349899292,0,0,0,22246.75,0,0,0,0,0,1560,1600,5600,1300,10000
22,22246.75,0,22246.75,9.997952938079834,0,0,0,22246.75,0,0,0,0,0,1560,1600,5600,1300,10000
23,22246.75,0,22246.75,10.762651681900024,0,0,0,22246.75,0,0,0,0,0,1560,1600,5600,1300,10000
24,22266.5,0,22266.5,10.332885980606079,0,0,0,22266.5,0,0,0,0,0,1620,1640,5400,1400,10000
25,22774.5,0,22774.5,10.730772256851196,0,0,0,22774.5,0,0,0,0,0,2090,1680,5700,1300,10000
26,22470.75,0,22470.75,10.296931266784668,0,0,0,22470.75,0,0,0,0,0,1830,1680,5600,1400,10000
