gen,q_size,td_error,epsilon,total_reward
1,364,147241453.755700,0.15,83150012197.60
2,370,1804952.907920,0.15,91872746881.03
3,376,1330821.456052,0.15,97126026997.15
4,393,71519362.889150,0.15,99660099346.74
5,395,1447557.437005,0.15,100865585031.77
6,397,2687063.555107,0.15,101730625784.53
7,397,2513056.887322,0.15,102642153507.92
8,398,1987188.440555,0.15,102891266549.73
9,398,13645657.835160,0.15,102932112480.69
10,399,2067883.038470,0.15,102952757932.58
11,399,6629476.381334,0.15,102952768726.29
12,399,1823721.081492,0.15,102969165526.55
13,399,687446.434614,0.15,102981507440.83
14,399,22008571.289494,0.15,102985678808.27
15,406,3447901.772697,0.15,102996146517.92
16,413,9373557.589829,0.15,102996146628.87
17,414,6224940.162855,0.15,102996146845.83
18,423,6149991.134687,0.15,102996146898.00
19,427,2445404.873806,0.15,102996147002.43
20,439,1443987.083278,0.15,102996147132.97
21,443,8967768.505551,0.15,102996147237.62
22,443,1351726.162687,0.15,102996147383.50
23,449,13224294.719395,0.15,102996147516.58
24,449,2512287.453541,0.15,102996147651.55
25,466,0.000000,0.15,102996147705.40
26,476,0.049690,0.15,102996147772.53
27,483,1748184.952921,0.15,102996147814.98
28,495,0.000000,0.15,102996147860.96
29,500,0.164567,0.15,102996147933.77
30,520,2.422295,0.15,102996148031.18
31,522,0.000000,0.15,102996148070.83
32,522,33609688.602691,0.15,102996148088.00
33,522,0.609143,0.15,102996148113.34
34,524,0.000000,0.15,102996148136.64
35,524,2.128166,0.15,102996148195.80
36,524,0.906412,0.15,102996148293.64
37,525,0.081360,0.15,102996148393.94
38,525,4.394337,0.15,102996148450.46
39,525,0.026483,0.15,102996148663.68
40,525,0.048520,0.15,102996148764.17
41,525,0.000000,0.1,102996148796.31
42,525,2.334317,0.1,102996148877.54
43,525,0.000000,0.1,102996148962.76
44,525,3.999412,0.1,102996149047.37
45,525,0.773929,0.1,102996149137.91
46,525,0.000000,0.1,102996149239.02
47,525,9.818805,0.1,102996149360.28
48,526,0.009402,0.1,102996149531.05
49,526,0.218454,0.1,102996149672.36
50,526,0.245758,0.1,102996149725.34
51,526,2.069349,0.1,102996149905.62
52,526,0.454182,0.1,102996150059.81
53,526,0.000000,0.1,102996150268.93
54,526,16.420320,0.1,102996150328.66
55,527,4.706185,0.1,102996150426.09
56,527,0.113522,0.1,102996150448.88
57,527,0.001407,0.1,102996150595.29
58,527,0.185321,0.1,102996150684.79
59,527,0.024299,0.1,102996150720.79
60,527,0.020964,0.1,102996150868.82
61,527,9492368.821306,0.1,102996152632.86
62,527,19.795234,0.1,102996152828.40
63,527,33.526311,0.1,102996153119.07
64,527,0.361030,0.1,102996153262.57
65,527,2.794321,0.1,102996153449.33
66,527,0.260585,0.1,102996153566.84
67,527,9.382098,0.1,102996153692.85
68,527,6227940.347519,0.1,102996153808.92
69,527,14.252236,0.1,102996153888.09
70,527,1.956026,0.1,102996153944.53
71,527,0.077136,0.1,102996154039.00
72,527,0.319153,0.1,102996154083.74
73,527,0.602206,0.1,102996154176.20
74,527,5.452657,0.1,102996154387.02
75,527,0.015299,0.1,102996154485.75
76,527,0.347694,0.1,102996154536.61
77,527,0.153909,0.1,102996154640.08
78,527,1.132039,0.1,102996154790.62
79,527,0.012988,0.1,102996154865.16
80,527,1.248691,0.1,102996154931.20
81,527,8.601835,0.05,102996155040.98
82,527,0.989341,0.05,102996155215.43
83,527,0.184265,0.05,102996155342.17
84,527,12.647807,0.05,102996155442.25
85,527,2.595525,0.05,102996155637.70
86,527,21.392508,0.05,102996155747.49
87,527,16.599373,0.05,102996155946.58
88,528,18.751776,0.05,102996156012.90
89,528,4.635507,0.05,102996156166.95
90,528,0.722064,0.05,102996156254.84
91,528,0.476879,0.05,102996156444.66
92,528,0.137167,0.05,102996156543.49
93,528,0.134437,0.05,102996156626.34
94,528,0.892664,0.05,102996156851.81
95,528,2091187.330380,0.05,102996156978.75
96,528,1.423477,0.05,102996157032.93
97,528,0.426636,0.05,102996157070.73
98,528,1.123843,0.05,102996157270.26
99,528,0.111068,0.05,102996157440.67
100,528,6.072464,0.05,102996157637.72
