gen,phase,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S12_Block
1,Curriculum_P1,14006163.0,14,6163.0,0,0,0,14,6163.0,0,1,13,0,0,920,640,3400,400,0,0
2,Curriculum_P1,4005649.5,4,5649.5,0,0,0,4,5649.5,0,1,3,0,0,790,400,3200,400,0,0
3,Curriculum_P1,1005467.0,1,5467.0,0,0,0,1,5467.0,0,0,1,0,0,750,520,3000,400,0,0
4,Curriculum_P1,4000.25,0,4000.25,0,0,0,0,4000.25,0,0,0,0,0,30,240,2700,400,0,0
5,Curriculum_P1,3245.0,0,3245.0,0,0,0,0,3245.0,0,0,0,0,0,-120,120,2100,400,0,0
6,Curriculum_P1,3207.0,0,3207.0,0,0,0,0,3207.0,0,0,0,0,0,-130,120,2000,400,0,0
7,Curriculum_P1,2988.0,0,2988.0,0,0,0,0,2988.0,0,0,0,0,0,-130,120,1900,400,0,0
8,Curriculum_P1,2152.0,0,2152.0,0,0,0,0,2152.0,0,0,0,0,0,-180,80,1200,300,0,0
1,Curriculum_P2,13007973.0,13,7973.0,0,0,0,13,7973.0,0,1,12,0,0,1900,880,3300,500,0,0
2,Curriculum_P2,3008715.25,3,8715.25,0,0,0,3,8715.25,0,0,3,0,0,2310,920,3500,500,0,0
3,Curriculum_P2,1008290.5,1,8290.5,0,0,0,1,8290.5,0,0,1,0,0,1650,760,4000,700,0,0
4,Curriculum_P2,6931.25,0,6931.25,0,0,0,0,6931.25,0,0,0,0,0,1140,520,3800,500,0,0
5,Curriculum_P2,5890.75,0,5890.75,0,0,0,0,5890.75,0,0,0,0,0,920,440,3300,400,0,0
6,Curriculum_P2,5199.0,0,5199.0,0,0,0,0,5199.0,0,0,0,0,0,560,360,2800,500,0,0
7,Curriculum_P2,4623.75,0,4623.75,0,0,0,0,4623.75,0,0,0,0,0,520,320,2500,400,0,0
8,Curriculum_P2,4578.75,0,4578.75,0,0,0,0,4578.75,0,0,0,0,0,520,360,2400,400,0,0
1,Curriculum_P3,60079028.25,60,79028.25,0,0,0,60,79028.25,0,19,41,0,0,2650,1760,5900,1300,0,65000
2,Curriculum_P3,49073282.75,49,73282.75,0,0,0,49,73282.75,0,11,38,0,0,2810,1680,5600,1000,0,60000
3,Curriculum_P3,41079620.5,41,79620.5,0,0,0,41,79620.5,0,16,25,0,0,3280,1880,5900,1000,0,65000
4,Curriculum_P3,40079500.5,40,79500.5,0,0,0,40,79500.5,0,16,24,0,0,3280,1840,5800,1000,0,65000
5,Curriculum_P3,39079470.5,39,79470.5,0,0,0,39,79470.5,0,15,24,0,0,3170,1800,5900,1000,0,65000
6,Curriculum_P3,39079470.5,39,79470.5,0,0,0,39,79470.5,0,15,24,0,0,3170,1800,5900,1000,0,65000
7,Curriculum_P3,37084876.75,37,84876.75,0,0,0,37,84876.75,0,17,20,0,0,3120,1840,6400,1100,0,70000
8,Curriculum_P3,36084966.75,36,84966.75,0,0,0,36,84966.75,0,16,20,0,0,3120,1840,6500,1100,0,70000
1,Global,51072827.5,51,72827.5,4.812198162078857,0,0,51,72827.5,0,20,31,0,0,2840,1720,4900,900,0,60000
2,Global,40057635.75,40,57635.75,5.218149185180664,0,0,40,57635.75,0,26,14,0,0,2280,1400,5600,900,0,45000
3,Global,29073460.25,29,73460.25,4.841411828994751,0,0,29,73460.25,0,15,14,0,0,2300,1520,6300,800,0,60000
