gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,20146428.0,20,146428.0,6.682741641998291,0,0,20,146428.0,0,9,11,0,0,2890,1840,7500,1700,130000
2,8101879.0,8,101879.0,7.179494619369507,0,0,8,101879.0,0,3,5,0,0,2660,1680,8000,1900,85000
3,3095895.25,3,95895.25,7.328906059265137,0,0,3,95895.25,0,1,2,0,0,2890,1440,7700,1500,80000
4,1065755.5,1,65755.5,7.136620759963989,0,0,1,65755.5,0,0,1,0,0,2670,1640,7300,1500,50000
5,1056072.75,1,56072.75,6.798654317855835,0,0,1,56072.75,0,0,1,0,0,3120,1720,7600,1500,40000
6,49841.0,0,49841.0,7.25706148147583,0,0,0,49841.0,0,0,0,0,0,2560,1600,6600,1900,35000
7,39425.5,0,39425.5,7.311890363693237,0,0,0,39425.5,0,0,0,0,0,2790,1680,6100,1600,25000
8,33982.25,0,33982.25,7.378185510635376,0,0,0,33982.25,0,0,0,0,0,2430,1600,6100,1700,20000
9,28834.0,0,28834.0,6.980882883071899,0,0,0,28834.0,0,0,0,0,0,2350,1640,6100,1300,15000
10,28529.75,0,28529.75,7.107753753662109,0,0,0,28529.75,0,0,0,0,0,2150,1480,6300,1400,15000
11,33696.0,0,33696.0,7.281874179840088,0,0,0,33696.0,0,0,0,0,0,2270,1600,6100,1700,20000
12,33696.0,0,33696.0,6.749700546264648,0,0,0,33696.0,0,0,0,0,0,2270,1600,6100,1700,20000
13,33730.25,0,33730.25,7.261526823043823,0,0,0,33730.25,0,0,0,0,0,2230,1600,6100,1600,20000
14,33600.75,0,33600.75,7.255558252334595,0,0,0,33600.75,0,0,0,0,0,2160,1600,6100,1500,20000
15,33683.25,0,33683.25,6.9337685108184814,0,0,0,33683.25,0,0,0,0,0,2230,1600,6100,1600,20000
16,33937.75,0,33937.75,7.421960353851318,0,0,0,33937.75,0,0,0,0,0,2190,1600,5900,1800,20000
17,29386.0,0,29386.0,7.436022043228149,0,0,0,29386.0,0,0,0,0,0,2390,1680,6000,1800,15000
18,18766.0,0,18766.0,7.528095722198486,0,0,0,18766.0,0,0,0,0,0,2250,1560,5900,1500,5000
19,23410.75,0,23410.75,7.041101932525635,0,0,0,23410.75,0,0,0,0,0,2130,1560,5900,1500,10000
20,17919.5,0,17919.5,7.825392007827759,0,0,0,17919.5,0,0,0,0,0,1900,1440,5700,1500,5000
21,22606.25,0,22606.25,8.116902828216553,0,0,0,22606.25,0,0,0,0,0,1810,1480,5600,1400,10000
22,22530.25,0,22530.25,7.08240270614624,0,0,0,22530.25,0,0,0,0,0,1810,1520,5500,1400,10000
23,22483.75,0,22483.75,7.173655986785889,0,0,0,22483.75,0,0,0,0,0,1830,1680,5400,1400,10000
24,17136.25,0,17136.25,6.864194631576538,0,0,0,17136.25,0,0,0,0,0,1920,1640,5300,1200,5000
25,17379.25,0,17379.25,7.329568147659302,0,0,0,17379.25,0,0,0,0,0,1780,1600,5400,1400,5000
26,22437.75,0,22437.75,7.098095655441284,0,0,0,22437.75,0,0,0,0,0,1640,1680,5200,1400,10000
27,17096.0,0,17096.0,7.140127897262573,0,0,0,17096.0,0,0,0,0,0,1610,1760,5100,1400,5000
28,16746.0,0,16746.0,7.227280139923096,0,0,0,16746.0,0,0,0,0,0,1590,1720,5000,1200,5000
29,16993.25,0,16993.25,7.078056335449219,0,0,0,16993.25,0,0,0,0,0,1680,1600,4800,1500,5000
30,16927.75,0,16927.75,6.934198379516602,0,0,0,16927.75,0,0,0,0,0,1670,1640,4700,1500,5000
31,21958.75,0,21958.75,6.895057678222656,0,0,0,21958.75,0,0,0,0,0,1710,1760,4800,1500,10000
32,21925.25,0,21925.25,7.074244260787964,0,0,0,21925.25,0,0,0,0,0,1760,1640,4700,1800,10000
33,21925.25,0,21925.25,7.54231858253479,0,0,0,21925.25,0,0,0,0,0,1760,1640,4700,1800,10000
34,21583.0,0,21583.0,6.804771661758423,0,0,0,21583.0,0,0,0,0,0,1420,1560,4800,1600,10000
35,16388.0,0,16388.0,7.226231575012207,0,0,0,16388.0,0,0,0,0,0,1330,1480,4800,1600,5000
36,21137.0,0,21137.0,7.073849678039551,0,0,0,21137.0,0,0,0,0,0,1300,1480,4700,1400,10000
37,16288.5,0,16288.5,6.90006422996521,0,0,0,16288.5,0,0,0,0,0,1320,1560,4800,1600,5000
38,16086.5,0,16086.5,7.147172927856445,0,0,0,16086.5,0,0,0,0,0,1190,1560,4800,1500,5000
39,15785.5,0,15785.5,7.176265478134155,0,0,0,15785.5,0,0,0,0,0,1100,1560,4800,1300,5000
40,15717.5,0,15717.5,6.92087984085083,0,0,0,15717.5,0,0,0,0,0,1110,1560,4700,1300,5000
