gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,19117458.0,19,117458.0,46.43036150932312,99.55284552845531,82012763.5875,19,117458.0,0,6,13,0,0,2990,1800,8200,1800,100000
2,8112578.5,8,112578.5,46.00946664810181,99.3089430894309,41573539.575,8,112578.5,0,2,6,0,0,3480,1720,8200,1500,95000
3,3106018.0,3,106018.0,44.343952894210815,98.45528455284554,38299005.8,3,106018.0,0,0,3,0,0,3480,1720,7200,1500,90000
4,1109990.5,1,109990.5,47.069804668426514,99.51219512195122,36153725.8,1,109990.5,0,0,1,0,0,3270,1600,6400,1500,95000
5,1094346.75,1,94346.75,44.02868390083313,96.78861788617887,35094290.4,1,94346.75,0,0,1,0,0,3050,1480,6100,1400,80000
6,78280.0,0,78280.0,46.61689519882202,99.55284552845531,34642065.1375,0,78280.0,0,0,0,0,0,2310,1440,6100,1000,65000
7,58463.0,0,58463.0,45.26509165763855,99.1869918699187,36550211.975,0,58463.0,0,0,0,0,0,2170,1560,6200,1200,45000
8,43680.5,0,43680.5,46.621985912323,98.90243902439025,37494240.15,0,43680.5,0,0,0,0,0,2110,1560,6400,1200,30000
9,38338.75,0,38338.75,46.128777265548706,99.47154471544717,30535174.0375,0,38338.75,0,0,0,0,0,2380,1640,6200,900,25000
10,37878.75,0,37878.75,46.794376850128174,98.61788617886178,34677399.2875,0,37878.75,0,0,0,0,0,2270,1560,6000,900,25000
11,37784.5,0,37784.5,44.66420030593872,98.08943089430896,33420331.95,0,37784.5,0,0,0,0,0,2300,1480,6000,800,25000
12,37468.5,0,37468.5,45.19460892677307,98.61788617886178,33420637.3875,0,37468.5,0,0,0,0,0,2130,1480,6000,700,25000
13,37468.5,0,37468.5,44.51685643196106,99.55284552845528,31924383.3625,0,37468.5,0,0,0,0,0,2130,1480,6000,700,25000
14,37384.0,0,37384.0,46.7411253452301,99.51219512195124,30525098.625,0,37384.0,0,0,0,0,0,2100,1520,5900,700,25000
15,32127.5,0,32127.5,43.981834173202515,98.82113821138212,31733360.1125,0,32127.5,0,0,0,0,0,2060,1520,5900,700,20000
16,31720.75,0,31720.75,45.88153076171875,98.29268292682926,29077377.2125,0,31720.75,0,0,0,0,0,1780,1440,5700,800,20000
17,31519.75,0,31519.75,44.50213408470154,99.59349593495936,33612940.2,0,31519.75,0,0,0,0,0,1780,1440,5600,700,20000
