gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,37013917.0,37,13917.0,39.12625026702881,97.88617886178861,91950130.0,37,13917.0,0,8,29,0,0,3060,1960,5400,900,0
2,30013204.0,30,13204.0,39.08221960067749,96.01626016260163,65700025.0,30,13204.0,0,6,24,0,0,2530,1960,4900,1100,0
6,28014460.0,28,14460.0,38.085131883621216,99.22764227642278,57450335.0,28,14460.0,0,6,22,0,0,3470,2040,5800,1000,0
2,30013993.0,30,13993.0,38.252989530563354,98.17073170731707,71250380.0,30,13993.0,0,6,24,0,0,2470,1880,5500,1400,0
3,27013404.0,27,13404.0,38.82548260688782,96.58536585365856,55049980.0,27,13404.0,0,8,19,0,0,2530,1960,5100,1100,0
7,26014360.0,26,14360.0,37.697431325912476,95.65040650406503,60550315.0,26,14360.0,0,5,21,0,0,3470,2040,5700,1000,0
3,28014093.0,28,14093.0,33.808300733566284,98.94308943089433,64300365.0,28,14093.0,0,5,23,0,0,2470,1880,5600,1400,0
4,23013504.0,23,13504.0,33.095051288604736,98.04878048780488,62000160.0,23,13504.0,0,5,18,0,0,2530,1960,5200,1100,0
8,25014260.0,25,14260.0,34.339502811431885,97.1951219512195,49300180.0,25,14260.0,0,4,21,0,0,3470,2040,5600,1000,0
4,25014517.0,25,14517.0,34.37805891036987,97.4390243902439,63000210.0,25,14517.0,0,6,19,0,0,3060,1960,6000,900,0
5,23013004.0,23,13004.0,35.11599659919739,96.66666666666669,49600220.0,23,13004.0,0,5,18,0,0,2530,1960,4700,1100,0
9,25014060.0,25,14060.0,35.182830572128296,96.34146341463413,61850230.0,25,14060.0,0,4,21,0,0,3470,2040,5400,1000,0
5,25014517.0,25,14517.0,33.716063022613525,97.4390243902439,54300250.0,25,14517.0,0,6,19,0,0,3060,1960,6000,900,0
6,23013004.0,23,13004.0,33.634814977645874,97.5609756097561,61150040.0,23,13004.0,0,5,18,0,0,2530,1960,4700,1100,0
10,24035430.5,24,35430.5,33.66908073425293,93.37398373983739,51299985.0,24,35430.5,0,6,18,0,0,3540,2160,5800,1100,20000
6,25014317.0,25,14317.0,35.16636538505554,97.76422764227644,56350120.0,25,14317.0,0,6,19,0,0,3060,1960,5800,900,0
7,23013004.0,23,13004.0,34.55460262298584,97.88617886178862,58250420.0,23,13004.0,0,5,18,0,0,2530,1960,4700,1100,0
11,24035230.5,24,35230.5,33.97850728034973,88.65853658536587,38799985.0,24,35230.5,0,6,18,0,0,3540,2160,5600,1100,20000
7,24014317.0,24,14317.0,32.662352085113525,97.92682926829268,55900245.0,24,14317.0,0,5,19,0,0,3060,1960,5800,900,0
8,23013004.0,23,13004.0,32.12560796737671,98.45528455284554,55600065.0,23,13004.0,0,5,18,0,0,2530,1960,4700,1100,0
12,22035430.5,22,35430.5,32.02216577529907,94.39024390243902,44699750.0,22,35430.5,0,4,18,0,0,3540,2160,5800,1100,20000
8,24013693.0,24,13693.0,33.369075536727905,98.21138211382113,50300325.0,24,13693.0,0,2,22,0,0,2470,1880,5200,1400,0
9,23013004.0,23,13004.0,33.456480264663696,98.3739837398374,56150240.0,23,13004.0,0,5,18,0,0,2530,1960,4700,1100,0
13,22035430.5,22,35430.5,33.684441328048706,96.01626016260164,42399980.0,22,35430.5,0,4,18,0,0,3540,2160,5800,1100,20000
9,22013793.0,22,13793.0,34.93105363845825,96.260162601626,56700245.0,22,13793.0,0,1,21,0,0,2470,1880,5300,1400,0
10,23013004.0,23,13004.0,35.72001552581787,93.86178861788616,54900150.0,23,13004.0,0,5,18,0,0,2530,1960,4700,1100,0
14,22035330.5,22,35330.5,37.557249307632446,95.97560975609755,41000085.0,22,35330.5,0,4,18,0,0,3540,2160,5700,1100,20000
10,22013693.0,22,13693.0,36.447924852371216,94.83739837398375,45150105.0,22,13693.0,0,1,21,0,0,2470,1880,5200,1400,0
11,23012904.0,23,12904.0,35.78918504714966,98.04878048780488,61450205.0,23,12904.0,0,5,18,0,0,2530,1960,4600,1100,0
15,22034830.5,22,34830.5,35.879472970962524,96.21951219512195,42199890.0,22,34830.5,0,4,18,0,0,3540,2160,5200,1100,20000
11,22013293.0,22,13293.0,36.07752847671509,96.9918699186992,57299930.0,22,13293.0,0,1,21,0,0,2470,1880,4800,1400,0
12,23012904.0,23,12904.0,36.34295630455017,96.58536585365856,54500145.0,23,12904.0,0,5,18,0,0,2530,1960,4600,1100,0
16,22034830.5,22,34830.5,35.263524293899536,90.12195121951218,45149800.0,22,34830.5,0,4,18,0,0,3540,2160,5200,1100,20000
12,22013293.0,22,13293.0,32.33097791671753,97.60162601626016,61750150.0,22,13293.0,0,1,21,0,0,2470,1880,4800,1400,0
13,23012904.0,23,12904.0,32.83137273788452,98.00813008130082,50099965.0,23,12904.0,0,5,18,0,0,2530,1960,4600,1100,0
17,21035030.5,21,35030.5,32.861865520477295,93.53658536585365,38999765.0,21,35030.5,0,3,18,0,0,3540,2160,5400,1100,20000
13,22013293.0,22,13293.0,35.01364517211914,98.17073170731709,58500250.0,22,13293.0,0,1,21,0,0,2470,1880,4800,1400,0
14,23012904.0,23,12904.0,35.95926070213318,97.96747967479675,57350185.0,23,12904.0,0,5,18,0,0,2530,1960,4600,1100,0
18,21035030.5,21,35030.5,41.42797017097473,92.8048780487805,43349900.0,21,35030.5,0,3,18,0,0,3540,2160,5400,1100,20000
14,22013293.0,22,13293.0,48.322057008743286,97.52032520325203,55049930.0,22,13293.0,0,1,21,0,0,2470,1880,4800,1400,0
15,23012804.0,23,12804.0,48.26664876937866,97.84552845528455,61649880.0,23,12804.0,0,5,18,0,0,2530,1960,4500,1100,0
19,21034830.5,21,34830.5,47.80178165435791,94.83739837398375,44149945.0,21,34830.5,0,3,18,0,0,3540,2160,5200,1100,20000
15,21013293.0,21,13293.0,43.21957802772522,93.82113821138212,50449965.0,21,13293.0,0,0,21,0,0,2470,1880,4800,1400,0
16,22013204.0,22,13204.0,43.519654273986816,97.39837398373986,53850145.0,22,13204.0,0,4,18,0,0,2530,1960,4900,1100,0
20,21034730.5,21,34730.5,38.312599897384644,96.6260162601626,46699960.0,21,34730.5,0,3,18,0,0,3540,2160,5100,1100,20000
16,21013193.0,21,13193.0,34.622074365615845,95.0,48149890.0,21,13193.0,0,0,21,0,0,2470,1880,4700,1400,0
17,22013104.0,22,13104.0,34.35498261451721,98.45528455284554,58800160.0,22,13104.0,0,5,17,0,0,2530,1960,4800,1100,0
21,21034630.5,21,34630.5,34.15228748321533,94.99999999999999,46749945.0,21,34630.5,0,3,18,0,0,3540,2160,5000,1100,20000
17,21013193.0,21,13193.0,33.274999380111694,93.78048780487805,45499810.0,21,13193.0,0,0,21,0,0,2470,1880,4700,1400,0
18,20013404.0,20,13404.0,34.4324369430542,97.60162601626016,58650215.0,20,13404.0,0,3,17,0,0,2530,1960,5100,1100,0
22,21034630.5,21,34630.5,34.53981375694275,95.65040650406506,45450260.0,21,34630.5,0,3,18,0,0,3540,2160,5000,1100,20000
18,21013193.0,21,13193.0,34.86667799949646,95.5691056910569,46299915.0,21,13193.0,0,0,21,0,0,2470,1880,4700,1400,0
19,20013404.0,20,13404.0,35.09956240653992,96.74796747967478,57050175.0,20,13404.0,0,3,17,0,0,2530,1960,5100,1100,0
23,21034630.5,21,34630.5,35.21361517906189,88.130081300813,47150010.0,21,34630.5,0,3,18,0,0,3540,2160,5000,1100,20000
19,21013193.0,21,13193.0,33.75844621658325,94.34959349593495,38949675.0,21,13193.0,0,0,21,0,0,2470,1880,4700,1400,0
20,20013404.0,20,13404.0,33.79782509803772,97.8048780487805,60649980.0,20,13404.0,0,3,17,0,0,2530,1960,5100,1100,0
24,21034630.5,21,34630.5,32.61165761947632,92.39837398373984,39049770.0,21,34630.5,0,3,18,0,0,3540,2160,5000,1100,20000
20,21013193.0,21,13193.0,32.089147329330444,91.5040650406504,35449860.0,21,13193.0,0,0,21,0,0,2470,1880,4700,1400,0
21,20013304.0,20,13304.0,32.60178589820862,96.82926829268291,54100080.0,20,13304.0,0,3,17,0,0,2530,1960,5000,1100,0
25,21034530.5,21,34530.5,33.15465497970581,95.0,31499785.0,21,34530.5,0,3,18,0,0,3540,2160,4900,1100,20000
21,21012893.0,21,12893.0,33.752811908721924,90.81300813008129,41299915.0,21,12893.0,0,0,21,0,0,2470,1880,4400,1400,0
22,20013304.0,20,13304.0,33.211291790008545,97.23577235772358,55800250.0,20,13304.0,0,3,17,0,0,2530,1960,5000,1100,0
26,21034530.5,21,34530.5,33.807809352874756,91.66666666666666,35399775.0,21,34530.5,0,3,18,0,0,3540,2160,4900,1100,20000
22,21012793.0,21,12793.0,34.170517683029175,88.29268292682929,41299970.0,21,12793.0,0,0,21,0,0,2470,1880,4300,1400,0
23,19013704.0,19,13704.0,34.69686150550842,97.88617886178862,55250205.0,19,13704.0,0,2,17,0,0,2530,1960,5400,1100,0
27,21034430.5,21,34430.5,36.22917819023132,93.90243902439023,43849735.0,21,34430.5,0,2,19,0,0,3540,2160,4800,1100,20000
23,21012793.0,21,12793.0,35.469276428222656,96.21951219512195,49399910.0,21,12793.0,0,0,21,0,0,2470,1880,4300,1400,0
24,19013504.0,19,13504.0,35.745365381240845,98.04878048780488,53100240.0,19,13504.0,0,2,17,0,0,2530,1960,5200,1100,0
28,18034930.5,18,34930.5,37.7907190322876,96.13821138211384,43799900.0,18,34930.5,0,3,15,0,0,3540,2160,5300,1100,20000
24,20013093.0,20,13093.0,40.334038496017456,94.26829268292683,55149810.0,20,13093.0,1,2,17,0,0,2470,1880,4600,1400,0
25,19013304.0,19,13304.0,40.69936537742615,96.1788617886179,41599875.0,19,13304.0,0,2,17,0,0,2530,1960,5000,1100,0
29,17034830.5,17,34830.5,41.55698585510254,95.9349593495935,42899950.0,17,34830.5,0,2,15,0,0,3540,2160,5200,1100,20000
25,19013093.0,19,13093.0,40.875364542007446,96.9918699186992,56349840.0,19,13093.0,0,2,17,0,0,2470,1880,4600,1400,0
26,19013304.0,19,13304.0,41.07351589202881,91.869918699187,39249580.0,19,13304.0,0,2,17,0,0,2530,1960,5000,1100,0
30,17034730.5,17,34730.5,42.47924184799194,94.43089430894307,42799815.0,17,34730.5,0,2,15,0,0,3540,2160,5100,1100,20000
26,19013093.0,19,13093.0,40.99116778373718,97.88617886178861,60349870.0,19,13093.0,0,2,17,0,0,2470,1880,4600,1400,0
27,19013304.0,19,13304.0,41.05852508544922,97.07317073170731,56299985.0,19,13304.0,0,2,17,0,0,2530,1960,5000,1100,0
31,17034730.5,17,34730.5,37.71107482910156,93.21138211382113,40049825.0,17,34730.5,0,2,15,0,0,3540,2160,5100,1100,20000
27,18013193.0,18,13193.0,37.22991681098938,95.20325203252034,54899900.0,18,13193.0,0,1,17,0,0,2470,1880,4700,1400,0
28,19013204.0,19,13204.0,36.72328758239746,97.43902439024393,48300050.0,19,13204.0,0,2,17,0,0,2530,1960,4900,1100,0
32,17034730.5,17,34730.5,35.11847686767578,96.13821138211381,42449895.0,17,34730.5,0,2,15,0,0,3540,2160,5100,1100,20000
28,18013193.0,18,13193.0,33.37089419364929,98.0487804878049,53799995.0,18,13193.0,0,1,17,0,0,2470,1880,4700,1400,0
29,19013004.0,19,13004.0,33.15624189376831,93.6178861788618,50949935.0,19,13004.0,0,2,17,0,0,2530,1960,4700,1100,0
