gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,24069227.5,24,69227.5,15.849704265594482,93.29218106995883,27936426.975,24,69227.5,0,20,4,0,0,3830,1920,9000,1800,50000
2,6112153.5,6,112153.5,15.505404472351074,72.42798353909465,7977164.025,6,112153.5,0,4,2,0,0,3320,1760,7500,1600,95000
3,1078129.5,1,78129.5,15.370147228240967,89.50617283950618,2994110.025,1,78129.5,0,1,0,0,0,3490,1880,8200,1600,60000
4,1057555.5,1,57555.5,15.509892702102661,77.20164609053498,650303.9375,1,57555.5,0,1,0,0,0,3550,1840,7600,1500,40000
5,72811.75,0,72811.75,15.826398611068726,70.94650205761316,301661.475,0,72811.75,0,0,0,0,0,3760,2000,7800,1700,55000
6,66574.75,0,66574.75,20.505104780197144,60.123456790123456,8216.7625,0,66574.75,0,0,0,0,0,3180,1960,7400,1500,50000
7,61204.25,0,61204.25,27.03035831451416,35.84362139917695,3656.325,0,61204.25,0,0,0,0,0,2810,1840,7100,1600,45000
8,61162.5,0,61162.5,21.8808491230011,44.609053497942384,4950.1875,0,61162.5,0,0,0,0,0,2540,1760,7100,1800,45000
9,61079.0,0,61079.0,19.744956016540527,39.25925925925926,2746.8125,0,61079.0,0,0,0,0,0,2720,1800,6900,1800,45000
10,42011.75,0,42011.75,21.82082438468933,51.893004115226326,2143.4,0,42011.75,0,0,0,0,0,2980,1920,7500,1700,25000
11,45797.25,0,45797.25,17.553657054901123,43.4156378600823,1025.35,0,45797.25,0,0,0,0,0,2710,1760,6900,1700,30000
12,40856.75,0,40856.75,17.618573904037476,17.818930041152264,1282.025,0,40856.75,0,0,0,0,0,2990,1800,6800,1700,25000
13,40287.25,0,40287.25,16.965479612350464,31.563786008230455,1032.325,0,40287.25,0,0,0,0,0,2610,1800,6700,1600,25000
14,35534.25,0,35534.25,17.26578450202942,29.176954732510286,301.025,0,35534.25,0,0,0,0,0,2670,1800,6900,1600,20000
15,35534.25,0,35534.25,17.312057495117188,15.390946502057613,1014.4625,0,35534.25,0,0,0,0,0,2670,1800,6900,1600,20000
16,29987.75,0,29987.75,17.39952325820923,27.201646090534982,309.6,0,29987.75,0,0,0,0,0,2640,1760,6600,1500,15000
17,30321.75,0,30321.75,17.17280411720276,19.09465020576132,38.775,0,30321.75,0,0,0,0,0,2800,1840,6700,1600,15000
18,29971.75,0,29971.75,17.115694046020508,20.370370370370374,263.9375,0,29971.75,0,0,0,0,0,2720,1800,6500,1700,15000
19,29989.25,0,29989.25,17.49358367919922,11.358024691358025,511.075,0,29989.25,0,0,0,0,0,2720,1800,6500,1700,15000
20,25152.75,0,25152.75,17.66492533683777,18.600823045267493,40.05,0,25152.75,0,0,0,0,0,2770,1760,6600,1600,10000
21,24737.25,0,24737.25,17.425416707992554,19.75308641975309,37.05,0,24737.25,0,0,0,0,0,2630,1640,6500,1700,10000
22,24463.25,0,24463.25,17.325806617736816,20.411522633744855,47.35,0,24463.25,0,0,0,0,0,2390,1600,6500,1700,10000
23,24463.25,0,24463.25,17.156294107437134,12.88065843621399,766.2,0,24463.25,0,0,0,0,0,2390,1600,6500,1700,10000
24,19681.25,0,19681.25,17.68455147743225,21.02880658436214,26.4,0,19681.25,0,0,0,0,0,2660,1760,6500,1600,5000
25,19470.25,0,19470.25,18.157505989074707,20.04115226337449,33.675,0,19470.25,0,0,0,0,0,2420,1680,6600,1600,5000
