gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,35153068.75,35,153068.75,10.62825608253479,99.55465587044532,8119503.85,35,153068.75,0,14,21,0,0,3200,0,9100,0,140000
2,16173756.5,16,173756.5,11.13755488395691,97.28744939271256,5386241.2875,16,173756.5,0,11,5,0,0,3000,0,9400,0,160000
3,4149045.0,4,149045.0,10.940478324890137,97.85425101214577,2799492.9625,4,149045.0,0,2,2,0,0,3070,0,9900,0,135000
4,153376.5,0,153376.5,10.388633251190186,94.89878542510122,850723.275,0,153376.5,0,0,0,0,0,2890,0,9200,0,140000
5,127469.5,0,127469.5,10.637868165969849,95.58704453441295,203588.15,0,127469.5,0,0,0,0,0,3020,0,8300,0,115000
6,112124.0,0,112124.0,11.447911500930786,97.69230769230771,251553.4,0,112124.0,0,0,0,0,0,2790,0,8300,0,100000
7,102796.5,0,102796.5,11.56227159500122,93.96761133603239,1023.475,0,102796.5,0,0,0,0,0,2680,0,8900,0,90000
8,101429.75,0,101429.75,10.117652416229248,92.83400809716599,100257.2125,0,101429.75,0,0,0,0,0,2630,0,7900,0,90000
9,87304.75,0,87304.75,10.501378297805786,98.78542510121457,3227.0,0,87304.75,0,0,0,0,0,2980,0,8400,0,75000
10,87131.0,0,87131.0,10.71110463142395,96.84210526315789,541.55,0,87131.0,0,0,0,0,0,2520,0,8500,0,75000
11,76735.0,0,76735.0,10.557214498519897,96.72064777327935,2021.65,0,76735.0,0,0,0,0,0,2410,0,8000,0,65000
12,61472.0,0,61472.0,11.48538064956665,95.34412955465588,1775.5125,0,61472.0,0,0,0,0,0,2660,0,7800,0,50000
13,56646.5,0,56646.5,11.354665279388428,94.69635627530366,1032.95,0,56646.5,0,0,0,0,0,2680,0,7800,0,45000
14,51286.0,0,51286.0,9.953809022903442,90.64777327935222,271.275,0,51286.0,0,0,0,0,0,2600,0,7500,0,40000
15,51206.0,0,51206.0,10.207904815673828,93.72469635627532,529.8,0,51206.0,0,0,0,0,0,2600,0,7500,0,40000
16,46676.0,0,46676.0,10.412848711013794,97.57085020242914,49765.375,0,46676.0,0,0,0,0,0,2230,0,8000,0,35000
17,41131.0,0,41131.0,10.094965934753418,93.27935222672066,1532.1,0,41131.0,0,0,0,0,0,2190,0,7600,0,30000
18,36957.25,0,36957.25,10.385200023651123,98.50202429149797,2758.8375,0,36957.25,0,0,0,0,0,3020,0,8100,0,25000
19,31703.75,0,31703.75,10.19437837600708,98.62348178137651,521.975,0,31703.75,0,0,0,0,0,2970,0,8000,0,20000
20,26712.25,0,26712.25,10.21766996383667,96.76113360323887,768.6,0,26712.25,0,0,0,0,0,3130,0,8000,0,15000
21,21593.5,0,21593.5,9.985130310058594,95.91093117408906,765.675,0,21593.5,0,0,0,0,0,3030,0,7700,0,10000
22,21172.5,0,21172.5,10.085859060287476,97.44939271255062,1301.475,0,21172.5,0,0,0,0,0,2930,0,7400,0,10000
23,21166.5,0,21166.5,11.003622055053711,97.77327935222674,517.35,0,21166.5,0,0,0,0,0,2930,0,7400,0,10000
24,21166.5,0,21166.5,10.918178081512451,99.79757085020242,244.35,0,21166.5,0,0,0,0,0,2930,0,7400,0,10000
25,20999.0,0,20999.0,10.346733808517456,98.42105263157896,13.125,0,20999.0,0,0,0,0,0,2780,0,7300,0,10000
26,20990.0,0,20990.0,9.912381172180176,97.36842105263158,30.725,0,20990.0,0,0,0,0,0,2780,0,7300,0,10000
27,20828.0,0,20828.0,9.951887845993042,93.84615384615384,247.0,0,20828.0,0,0,0,0,0,2750,0,7200,0,10000
28,20810.5,0,20810.5,9.859790802001953,99.35222672064779,510.575,0,20810.5,0,0,0,0,0,2640,0,7300,0,10000
29,20810.5,0,20810.5,9.90687370300293,97.48987854251013,4.825,0,20810.5,0,0,0,0,0,2640,0,7300,0,10000
30,20775.5,0,20775.5,10.063603401184082,91.25506072874495,8.875,0,20775.5,0,0,0,0,0,2820,0,7100,0,10000
31,20670.5,0,20670.5,9.357890367507935,94.5344129554656,8.925,0,20670.5,0,0,0,0,0,2760,0,7000,0,10000
32,20670.5,0,20670.5,10.020661354064941,92.99595141700404,32.875,0,20670.5,0,0,0,0,0,2760,0,7000,0,10000
33,20670.5,0,20670.5,10.193528890609741,94.93927125506072,209.875,0,20670.5,0,0,0,0,0,2760,0,7000,0,10000
34,20670.5,0,20670.5,10.31261682510376,99.02834008097166,17.55,0,20670.5,0,0,0,0,0,2760,0,7000,0,10000
35,20500.5,0,20500.5,10.530877351760864,96.07287449392713,14.575,0,20500.5,0,0,0,0,0,2800,0,6900,0,10000
36,20500.5,0,20500.5,10.998452425003052,94.08906882591094,3.15,0,20500.5,0,0,0,0,0,2800,0,6900,0,10000
37,20264.5,0,20264.5,9.732497930526733,91.7408906882591,28.55,0,20264.5,0,0,0,0,0,2590,0,6800,0,10000
38,20264.5,0,20264.5,9.791188716888428,94.0080971659919,256.425,0,20264.5,0,0,0,0,0,2590,0,6800,0,10000
39,20107.0,0,20107.0,10.445117235183716,94.61538461538461,17.2,0,20107.0,0,0,0,0,0,2320,0,6900,0,10000
40,20107.0,0,20107.0,10.518907070159912,95.50607287449392,3.1,0,20107.0,0,0,0,0,0,2320,0,6900,0,10000
41,20104.5,0,20104.5,10.425268650054932,87.85425101214574,270.4,0,20104.5,0,0,0,0,0,2320,0,7000,0,10000
42,20104.5,0,20104.5,11.027769565582275,96.55870445344131,0.0,0,20104.5,0,0,0,0,0,2320,0,7000,0,10000
43,20104.5,0,20104.5,10.289769649505615,97.04453441295546,13.0,0,20104.5,0,0,0,0,0,2320,0,7000,0,10000
44,20089.0,0,20089.0,10.11223316192627,92.51012145748987,5.375,0,20089.0,0,0,0,0,0,2290,0,7000,0,10000
45,20089.0,0,20089.0,9.98284387588501,95.99190283400809,0.125,0,20089.0,0,0,0,0,0,2290,0,7000,0,10000
46,20089.0,0,20089.0,10.538542032241821,93.27935222672066,24.875,0,20089.0,0,0,0,0,0,2290,0,7000,0,10000
47,20089.0,0,20089.0,10.883358478546143,96.11336032388665,12.125,0,20089.0,0,0,0,0,0,2290,0,7000,0,10000
48,15207.5,0,15207.5,11.660131931304932,99.51417004048582,244.325,0,15207.5,0,0,0,0,0,2450,0,7100,0,5000
