gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,17105006.0,17,105006.0,10.192024230957031,89.21810699588477,38602594.3625,17,105006.0,0,17,0,0,0,3900,2080,9300,2000,85000
2,6120138.25,6,120138.25,10.82762622833252,86.0082304526749,25986374.925,6,120138.25,0,6,0,0,0,4150,2040,9700,1700,100000
3,115173.0,0,115173.0,10.49113941192627,87.69547325102882,23284763.9,0,115173.0,0,0,0,0,0,3770,2040,9900,1700,95000
4,109036.0,0,109036.0,18.16731023788452,92.75720164609054,20541277.875,0,109036.0,0,0,0,0,0,3750,1880,8700,1800,90000
5,72275.5,0,72275.5,18.756351232528687,86.33744855967078,13138734.5375,0,72275.5,0,0,0,0,0,3260,1880,8000,1600,55000
6,61642.0,0,61642.0,18.38237762451172,63.86831275720165,17880549.8,0,61642.0,0,0,0,0,0,2850,1840,7800,1500,45000
7,57201.0,0,57201.0,17.79225468635559,60.08230452674896,12877810.3,0,57201.0,0,0,0,0,0,3150,2000,7600,1600,40000
8,51585.5,0,51585.5,17.71949529647827,51.89300411522634,6135759.6,0,51585.5,0,0,0,0,0,3110,2040,7300,1400,35000
9,46120.5,0,46120.5,17.78363847732544,50.74074074074074,7280178.6125,0,46120.5,0,0,0,0,0,2990,1920,7200,1400,30000
10,41742.75,0,41742.75,18.482677698135376,46.8724279835391,9475919.375,0,41742.75,0,0,0,0,0,3310,1920,7400,1200,25000
11,40712.75,0,40712.75,17.490211486816406,56.419753086419746,9327141.825,0,40712.75,0,0,0,0,0,2920,1840,7000,1500,25000
12,25715.5,0,25715.5,18.105284452438354,60.781893004115226,9421310.3,0,25715.5,0,0,0,0,0,3240,1800,7400,1100,10000
13,26079.25,0,26079.25,19.706191778182983,66.74897119341563,8379444.6,0,26079.25,0,0,0,0,0,3430,1880,7400,1100,10000
14,20474.0,0,20474.0,17.60580325126648,49.958847736625515,8424435.0125,0,20474.0,0,0,0,0,0,3570,1880,7100,1000,5000
15,20329.5,0,20329.5,18.347633123397827,36.049382716049394,4129708.4625,0,20329.5,0,0,0,0,0,3240,1680,7000,1200,5000
16,20329.5,0,20329.5,17.11231255531311,37.65432098765432,5877937.9625,0,20329.5,0,0,0,0,0,3240,1680,7000,1200,5000
17,20329.5,0,20329.5,18.50008463859558,43.78600823045267,4428831.475,0,20329.5,0,0,0,0,0,3240,1680,7000,1200,5000
18,20329.5,0,20329.5,18.381495237350464,22.263374485596707,3631487.8625,0,20329.5,0,0,0,0,0,3240,1680,7000,1200,5000
19,19889.75,0,19889.75,18.06699013710022,36.172839506172835,6379322.75,0,19889.75,0,0,0,0,0,3120,1800,6700,1200,5000
20,19825.25,0,19825.25,18.34594488143921,35.76131687242798,5829335.275,0,19825.25,0,0,0,0,0,3130,1840,6600,1300,5000
21,19445.25,0,19445.25,18.800824642181396,26.255144032921812,4631226.35,0,19445.25,0,0,0,0,0,2980,1800,6400,1300,5000
22,19476.0,0,19476.0,17.170631408691406,33.53909465020576,4172560.0875,0,19476.0,0,0,0,0,0,2820,1760,6500,1400,5000
23,19290.0,0,19290.0,18.912580728530884,38.8477366255144,6373178.925,0,19290.0,0,0,0,0,0,2800,1720,6200,1500,5000
24,13989.0,0,13989.0,18.65482521057129,40.49382716049383,4729972.2875,0,13989.0,0,0,0,0,0,2950,1800,6000,1200,0
25,13824.0,0,13824.0,19.32509756088257,41.56378600823046,4581373.725,0,13824.0,0,0,0,0,0,2780,1800,5900,1200,0
26,13662.75,0,13662.75,19.74219560623169,32.34567901234568,4582686.2375,0,13662.75,0,0,0,0,0,2590,1840,5900,1200,0
27,13599.75,0,13599.75,18.00188183784485,24.485596707818928,3477605.725,0,13599.75,0,0,0,0,0,2580,1840,5800,1200,0
28,13423.5,0,13423.5,17.056620359420776,30.288065843621393,4228132.9625,0,13423.5,0,0,0,0,0,2560,1840,5800,1100,0
29,13391.5,0,13391.5,17.475072383880615,25.80246913580247,4080510.7,0,13391.5,0,0,0,0,0,2560,1800,5800,1100,0
30,13391.5,0,13391.5,18.80924940109253,20.370370370370367,4130890.25,0,13391.5,0,0,0,0,0,2560,1800,5800,1100,0
31,13269.0,0,13269.0,18.095824003219604,35.63786008230452,4271187.6375,0,13269.0,0,0,0,0,0,2380,1760,5900,1200,0
32,13257.0,0,13257.0,19.382811307907104,28.06584362139918,4881238.5125,0,13257.0,0,0,0,0,0,2380,1760,5900,1200,0
33,13169.0,0,13169.0,20.475995540618896,8.477366255144032,3138368.85,0,13169.0,0,0,0,0,0,2380,1760,5800,1200,0
34,13059.5,0,13059.5,18.2806134223938,10.740740740740742,2434378.775,0,13059.5,0,0,0,0,0,2360,1760,5700,1200,0
35,12940.5,0,12940.5,18.174298524856567,16.666666666666664,2185547.2,0,12940.5,0,0,0,0,0,2360,1760,5600,1200,0
