gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,22042955.0,22,42955.0,6.118003606796265,0,0,22,42955.0,0,6,16,0,0,3380,0,8100,0,30000
2,13049612.0,13,49612.0,5.8993189334869385,0,0,13,49612.0,0,7,6,0,0,3460,0,8700,0,36000
3,11044679.5,11,44679.5,6.14834451675415,0,0,11,44679.5,0,7,4,0,0,3530,0,9200,0,31000
4,6041699.0,6,41699.0,5.551293611526489,0,0,6,41699.0,0,3,3,0,0,3140,0,8500,0,29000
5,3041132.0,3,41132.0,5.354619741439819,0,0,3,41132.0,0,1,2,0,0,3170,0,8700,0,28000
6,35877.5,0,35877.5,5.701576232910156,0,0,0,35877.5,0,0,0,0,0,2950,0,8000,0,24000
7,34108.5,0,34108.5,4.7409515380859375,0,0,0,34108.5,0,0,0,0,0,2500,0,7400,0,23000
8,29634.75,0,29634.75,5.642789363861084,0,0,0,29634.75,0,0,0,0,0,2400,0,7300,0,19000
9,28732.25,0,28732.25,5.230186462402344,0,0,0,28732.25,0,0,0,0,0,2780,0,7000,0,18000
10,26329.0,0,26329.0,5.739347457885742,0,0,0,26329.0,0,0,0,0,0,2630,0,6800,0,16000
11,19618.25,0,19618.25,5.030420303344727,0,0,0,19618.25,0,0,0,0,0,2300,0,6600,0,10000
12,18670.75,0,18670.75,5.462576389312744,0,0,0,18670.75,0,0,0,0,0,2270,0,6600,0,9000
13,18660.75,0,18660.75,5.587949514389038,0,0,0,18660.75,0,0,0,0,0,2260,0,6600,0,9000
14,17805.75,0,17805.75,5.323399782180786,0,0,0,17805.75,0,0,0,0,0,2280,0,6800,0,8000
15,17593.25,0,17593.25,6.560534715652466,0,0,0,17593.25,0,0,0,0,0,2160,0,6700,0,8000
16,17285.75,0,17285.75,5.762836456298828,0,0,0,17285.75,0,0,0,0,0,2260,0,6300,0,8000
17,17285.75,0,17285.75,5.606317043304443,0,0,0,17285.75,0,0,0,0,0,2260,0,6300,0,8000
18,17045.75,0,17045.75,6.1321494579315186,0,0,0,17045.75,0,0,0,0,0,2120,0,6200,0,8000
19,16850.75,0,16850.75,5.618963956832886,0,0,0,16850.75,0,0,0,0,0,1930,0,6200,0,8000
20,16760.75,0,16760.75,5.627259016036987,0,0,0,16760.75,0,0,0,0,0,1840,0,6200,0,8000
21,16760.75,0,16760.75,7.235836982727051,0,0,0,16760.75,0,0,0,0,0,1840,0,6200,0,8000
22,16760.75,0,16760.75,7.15382719039917,0,0,0,16760.75,0,0,0,0,0,1840,0,6200,0,8000
23,16695.75,0,16695.75,5.097935438156128,0,0,0,16695.75,0,0,0,0,0,1960,0,6100,0,8000
24,15855.75,0,15855.75,6.232089996337891,0,0,0,15855.75,0,0,0,0,0,1840,0,6200,0,7000
25,14855.25,0,14855.25,5.797940254211426,0,0,0,14855.25,0,0,0,0,0,2040,0,6200,0,6000
26,14845.25,0,14845.25,6.133903503417969,0,0,0,14845.25,0,0,0,0,0,2030,0,6200,0,6000
27,14845.25,0,14845.25,5.108659267425537,0,0,0,14845.25,0,0,0,0,0,2030,0,6200,0,6000
28,14806.25,0,14806.25,6.090026140213013,0,0,0,14806.25,0,0,0,0,0,2000,0,6200,0,6000
29,14806.25,0,14806.25,6.014583349227905,0,0,0,14806.25,0,0,0,0,0,2000,0,6200,0,6000
30,14806.25,0,14806.25,6.837843894958496,0,0,0,14806.25,0,0,0,0,0,2000,0,6200,0,6000
31,14791.25,0,14791.25,5.901177883148193,0,0,0,14791.25,0,0,0,0,0,1970,0,6200,0,6000
32,13906.25,0,13906.25,4.162047624588013,0,0,0,13906.25,0,0,0,0,0,1970,0,6300,0,5000
33,13893.75,0,13893.75,5.8277528285980225,0,0,0,13893.75,0,0,0,0,0,1960,0,6300,0,5000
34,13826.25,0,13826.25,5.8137900829315186,0,0,0,13826.25,0,0,0,0,0,2010,0,6100,0,5000
35,13816.25,0,13816.25,6.7038984298706055,0,0,0,13816.25,0,0,0,0,0,2000,0,6100,0,5000
36,13806.25,0,13806.25,5.802412986755371,0,0,0,13806.25,0,0,0,0,0,1990,0,6100,0,5000
37,12913.75,0,12913.75,5.886630296707153,0,0,0,12913.75,0,0,0,0,0,1830,0,6200,0,4000
38,12913.75,0,12913.75,5.50128960609436,0,0,0,12913.75,0,0,0,0,0,1830,0,6200,0,4000
39,12913.75,0,12913.75,5.668342113494873,0,0,0,12913.75,0,0,0,0,0,1830,0,6200,0,4000
40,12808.75,0,12808.75,5.016392230987549,0,0,0,12808.75,0,0,0,0,0,1820,0,6200,0,4000
41,12808.75,0,12808.75,6.55342960357666,0,0,0,12808.75,0,0,0,0,0,1820,0,6200,0,4000
42,12031.25,0,12031.25,5.204962253570557,0,0,0,12031.25,0,0,0,0,0,1950,0,6200,0,3000
43,11931.25,0,11931.25,5.867440462112427,0,0,0,11931.25,0,0,0,0,0,1950,0,6100,0,3000
44,11931.25,0,11931.25,5.573894500732422,0,0,0,11931.25,0,0,0,0,0,1950,0,6100,0,3000
45,10672.75,0,10672.75,5.516388654708862,0,0,0,10672.75,0,0,0,0,0,1940,0,6000,0,2000
46,10672.75,0,10672.75,5.7057945728302,0,0,0,10672.75,0,0,0,0,0,1940,0,6000,0,2000
47,10505.25,0,10505.25,5.741742849349976,0,0,0,10505.25,0,0,0,0,0,1770,0,6000,0,2000
48,10405.25,0,10405.25,4.50421142578125,0,0,0,10405.25,0,0,0,0,0,1770,0,5900,0,2000
49,10335.25,0,10335.25,5.528374433517456,0,0,0,10335.25,0,0,0,0,0,1800,0,5800,0,2000
50,10335.25,0,10335.25,5.9367289543151855,0,0,0,10335.25,0,0,0,0,0,1800,0,5800,0,2000
51,10110.25,0,10110.25,6.102587699890137,0,0,0,10110.25,0,0,0,0,0,1460,0,5900,0,2000
52,10110.25,0,10110.25,4.539409160614014,0,0,0,10110.25,0,0,0,0,0,1460,0,5900,0,2000
53,10110.25,0,10110.25,5.94902229309082,0,0,0,10110.25,0,0,0,0,0,1460,0,5900,0,2000
54,10110.25,0,10110.25,5.681494951248169,0,0,0,10110.25,0,0,0,0,0,1460,0,5900,0,2000
55,10090.25,0,10090.25,5.283243656158447,0,0,0,10090.25,0,0,0,0,0,1540,0,5800,0,2000
56,10090.25,0,10090.25,6.90405797958374,0,0,0,10090.25,0,0,0,0,0,1540,0,5800,0,2000
57,9940.25,0,9940.25,5.785468578338623,0,0,0,9940.25,0,0,0,0,0,1390,0,5800,0,2000
58,9940.25,0,9940.25,6.837331056594849,0,0,0,9940.25,0,0,0,0,0,1390,0,5800,0,2000
59,9890.25,0,9890.25,4.7637410163879395,0,0,0,9890.25,0,0,0,0,0,1540,0,5600,0,2000
60,9865.25,0,9865.25,5.2535240650177,0,0,0,9865.25,0,0,0,0,0,1710,0,5500,0,2000
61,9765.25,0,9765.25,5.673941373825073,0,0,0,9765.25,0,0,0,0,0,1710,0,5400,0,2000
62,9665.25,0,9665.25,5.91241717338562,0,0,0,9665.25,0,0,0,0,0,1710,0,5300,0,2000
63,9380.25,0,9380.25,5.318433046340942,0,0,0,9380.25,0,0,0,0,0,1610,0,5100,0,2000
64,9377.75,0,9377.75,5.239423990249634,0,0,0,9377.75,0,0,0,0,0,1610,0,5100,0,2000
65,9287.75,0,9287.75,6.036983489990234,0,0,0,9287.75,0,0,0,0,0,1620,0,5000,0,2000
66,9287.75,0,9287.75,6.454172611236572,0,0,0,9287.75,0,0,0,0,0,1620,0,5000,0,2000
67,9287.75,0,9287.75,5.051784515380859,0,0,0,9287.75,0,0,0,0,0,1620,0,5000,0,2000
68,9287.75,0,9287.75,5.8745973110198975,0,0,0,9287.75,0,0,0,0,0,1620,0,5000,0,2000
69,8355.5,0,8355.5,5.693460464477539,0,0,0,8355.5,0,0,0,0,0,1790,0,5000,0,1000
70,8340.5,0,8340.5,6.118399143218994,0,0,0,8340.5,0,0,0,0,0,1790,0,5000,0,1000
71,8340.5,0,8340.5,6.338651180267334,0,0,0,8340.5,0,0,0,0,0,1790,0,5000,0,1000
72,8240.5,0,8240.5,6.40644907951355,0,0,0,8240.5,0,0,0,0,0,1790,0,4900,0,1000
73,8128.5,0,8128.5,6.230648040771484,0,0,0,8128.5,0,0,0,0,0,1790,0,4800,0,1000
74,8049.5,0,8049.5,4.822598457336426,0,0,0,8049.5,0,0,0,0,0,1800,0,4800,0,1000
75,7980.25,0,7980.25,5.538638591766357,0,0,0,7980.25,0,0,0,0,0,1810,0,4800,0,1000
76,7970.25,0,7970.25,5.886279106140137,0,0,0,7970.25,0,0,0,0,0,1800,0,4800,0,1000
77,7970.25,0,7970.25,4.717141151428223,0,0,0,7970.25,0,0,0,0,0,1800,0,4800,0,1000
78,7970.25,0,7970.25,5.247056722640991,0,0,0,7970.25,0,0,0,0,0,1800,0,4800,0,1000
79,7970.25,0,7970.25,5.913393020629883,0,0,0,7970.25,0,0,0,0,0,1800,0,4800,0,1000
80,7970.25,0,7970.25,5.67894172668457,0,0,0,7970.25,0,0,0,0,0,1800,0,4800,0,1000
81,7970.25,0,7970.25,6.2406229972839355,0,0,0,7970.25,0,0,0,0,0,1800,0,4800,0,1000
82,7873.25,0,7873.25,4.869140148162842,0,0,0,7873.25,0,0,0,0,0,1800,0,4700,0,1000
83,7785.25,0,7785.25,5.8924643993377686,0,0,0,7785.25,0,0,0,0,0,1800,0,4600,0,1000
84,7770.25,0,7770.25,6.213196277618408,0,0,0,7770.25,0,0,0,0,0,1800,0,4600,0,1000
85,7770.25,0,7770.25,6.7653892040252686,0,0,0,7770.25,0,0,0,0,0,1800,0,4600,0,1000
86,7770.25,0,7770.25,6.541058778762817,0,0,0,7770.25,0,0,0,0,0,1800,0,4600,0,1000
87,7770.25,0,7770.25,5.922921180725098,0,0,0,7770.25,0,0,0,0,0,1800,0,4600,0,1000
88,6826.75,0,6826.75,6.199621200561523,0,0,0,6826.75,0,0,0,0,0,2010,0,4600,0,0
89,6826.75,0,6826.75,5.226044178009033,0,0,0,6826.75,0,0,0,0,0,2010,0,4600,0,0
90,6826.75,0,6826.75,5.468605279922485,0,0,0,6826.75,0,0,0,0,0,2010,0,4600,0,0
91,6826.75,0,6826.75,5.740858554840088,0,0,0,6826.75,0,0,0,0,0,2010,0,4600,0,0
92,6816.75,0,6816.75,5.888325214385986,0,0,0,6816.75,0,0,0,0,0,2000,0,4600,0,0
93,6816.75,0,6816.75,6.256643772125244,0,0,0,6816.75,0,0,0,0,0,2000,0,4600,0,0
94,6816.75,0,6816.75,6.439932107925415,0,0,0,6816.75,0,0,0,0,0,2000,0,4600,0,0
95,6816.75,0,6816.75,6.4856719970703125,0,0,0,6816.75,0,0,0,0,0,2000,0,4600,0,0
96,6816.75,0,6816.75,6.02131986618042,0,0,0,6816.75,0,0,0,0,0,2000,0,4600,0,0
97,6798.75,0,6798.75,4.934178113937378,0,0,0,6798.75,0,0,0,0,0,1870,0,4700,0,0
98,6728.75,0,6728.75,5.602223634719849,0,0,0,6728.75,0,0,0,0,0,2000,0,4500,0,0
99,6728.75,0,6728.75,5.471736907958984,0,0,0,6728.75,0,0,0,0,0,2000,0,4500,0,0
100,6716.75,0,6716.75,5.952319383621216,0,0,0,6716.75,0,0,0,0,0,2000,0,4500,0,0
