gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,16127557.0,16,127557.0,10.877995252609253,0,0,16,127557.0,0,8,7,0,0,3310,1720,8600,1300,110000
2,7112228.25,7,112228.25,6.892758846282959,0,0,7,112228.25,0,5,1,0,0,3350,1800,8200,1400,95000
3,2087358.75,2,87358.75,7.943986177444458,0,0,2,87358.75,0,1,0,0,0,3220,1960,8200,1500,70000
4,1086324.5,1,86324.5,8.662550926208496,0,0,1,86324.5,0,0,0,0,0,3070,1840,7700,1400,70000
5,1080790.25,1,80790.25,7.359915494918823,0,0,1,80790.25,0,0,0,0,0,2420,1680,7500,1400,65000
6,1080790.25,1,80790.25,7.3020548820495605,0,0,1,80790.25,0,0,0,0,0,2420,1680,7500,1400,65000
7,1080790.25,1,80790.25,7.230043411254883,0,0,1,80790.25,0,0,0,0,0,2420,1680,7500,1400,65000
8,1051056.25,1,51056.25,7.570455074310303,0,0,1,51056.25,0,0,0,0,0,3250,1760,7400,1400,35000
9,80790.5,0,80790.5,7.444400787353516,0,0,0,80790.5,0,0,0,0,0,3220,1760,7400,1300,65000
10,65410.5,0,65410.5,7.657064437866211,0,0,0,65410.5,0,0,0,0,0,2980,1760,7300,1300,50000
11,35580.5,0,35580.5,8.46776795387268,0,0,0,35580.5,0,0,0,0,0,2600,1720,7300,1200,20000
12,35214.5,0,35214.5,9.032212972640991,0,0,0,35214.5,0,0,0,0,0,2640,1680,7200,1200,20000
13,35214.5,0,35214.5,7.954192638397217,0,0,0,35214.5,0,0,0,0,0,2640,1680,7200,1200,20000
14,39578.75,0,39578.75,8.746175765991211,0,0,0,39578.75,0,0,0,0,0,2200,1600,7100,1300,25000
15,34719.75,0,34719.75,8.410580158233643,0,0,0,34719.75,0,0,0,0,0,2190,1640,7300,1200,20000
16,30049.75,0,30049.75,8.028788805007935,0,0,0,30049.75,0,0,0,0,0,2590,1760,7000,1100,15000
17,29573.25,0,29573.25,8.585064888000488,0,0,0,29573.25,0,0,0,0,0,2480,1800,6700,1100,15000
18,29519.75,0,29519.75,8.365317583084106,0,0,0,29519.75,0,0,0,0,0,2500,1800,6600,1200,15000
19,34245.75,0,34245.75,8.067304372787476,0,0,0,34245.75,0,0,0,0,0,2680,1760,6200,1100,20000
20,38826.0,0,38826.0,9.017365455627441,0,0,0,38826.0,0,0,0,0,0,2490,1760,5900,1200,25000
21,38908.5,0,38908.5,9.1608567237854,0,0,0,38908.5,0,0,0,0,0,2490,1760,5900,1300,25000
22,38623.5,0,38623.5,12.12007212638855,0,0,0,38623.5,0,0,0,0,0,2290,1600,5900,1400,25000
23,38381.0,0,38381.0,14.574798345565796,0,0,0,38381.0,0,0,0,0,0,2270,1720,5900,1200,25000
24,28198.5,0,28198.5,9.798079013824463,0,0,0,28198.5,0,0,0,0,0,2290,1640,5800,1200,15000
25,22900.0,0,22900.0,10.310454845428467,0,0,0,22900.0,0,0,0,0,0,2110,1720,5700,1100,10000
26,22887.5,0,22887.5,9.857134342193604,0,0,0,22887.5,0,0,0,0,0,2110,1720,5700,1100,10000
27,18192.5,0,18192.5,9.402122020721436,0,0,0,18192.5,0,0,0,0,0,2090,1760,5900,1100,5000
28,23130.0,0,23130.0,10.524198293685913,0,0,0,23130.0,0,0,0,0,0,2110,1760,5700,1200,10000
29,18021.0,0,18021.0,9.092936754226685,0,0,0,18021.0,0,0,0,0,0,2090,1760,5800,1100,5000
30,23035.0,0,23035.0,9.750128746032715,0,0,0,23035.0,0,0,0,0,0,2120,1760,5700,1200,10000
31,23145.0,0,23145.0,10.922192811965942,0,0,0,23145.0,0,0,0,0,0,2090,1800,5700,1100,10000
32,17955.0,0,17955.0,9.138118743896484,0,0,0,17955.0,0,0,0,0,0,2090,1840,5600,1000,5000
33,18012.5,0,18012.5,8.394419431686401,0,0,0,18012.5,0,0,0,0,0,2070,1800,5600,1100,5000
34,17820.25,0,17820.25,8.874258995056152,0,0,0,17820.25,0,0,0,0,0,2060,1760,5500,1100,5000
35,17820.25,0,17820.25,9.993724584579468,0,0,0,17820.25,0,0,0,0,0,2060,1760,5500,1100,5000
36,17820.25,0,17820.25,8.512808799743652,0,0,0,17820.25,0,0,0,0,0,2060,1760,5500,1100,5000
37,17656.5,0,17656.5,7.485204696655273,0,0,0,17656.5,0,0,0,0,0,2060,1800,5200,1100,5000
38,17551.5,0,17551.5,8.960541248321533,0,0,0,17551.5,0,0,0,0,0,2070,1880,5200,1000,5000
39,17551.5,0,17551.5,10.092208862304688,0,0,0,17551.5,0,0,0,0,0,2070,1880,5200,1000,5000
40,17566.5,0,17566.5,9.579521417617798,0,0,0,17566.5,0,0,0,0,0,1930,1840,5100,1100,5000
41,17566.5,0,17566.5,12.151141166687012,0,0,0,17566.5,0,0,0,0,0,1930,1840,5100,1100,5000
42,17566.5,0,17566.5,10.059380292892456,0,0,0,17566.5,0,0,0,0,0,1930,1840,5100,1100,5000
43,17456.5,0,17456.5,7.539317846298218,0,0,0,17456.5,0,0,0,0,0,1920,1840,5000,1100,5000
44,17249.0,0,17249.0,9.502487182617188,0,0,0,17249.0,0,0,0,0,0,1750,1800,5000,1100,5000
45,22298.0,0,22298.0,12.073548316955566,0,0,0,22298.0,0,0,0,0,0,1740,1760,5000,1300,10000
46,22119.0,0,22119.0,7.1619932651519775,0,0,0,22119.0,0,0,0,0,0,1740,1760,5000,1200,10000
47,22059.0,0,22059.0,7.571301221847534,0,0,0,22059.0,0,0,0,0,0,1740,1760,4900,1200,10000
48,22059.0,0,22059.0,8.118269443511963,0,0,0,22059.0,0,0,0,0,0,1740,1760,4900,1200,10000
49,16816.0,0,16816.0,8.673005819320679,0,0,0,16816.0,0,0,0,0,0,1730,1800,4900,1100,5000
50,16816.0,0,16816.0,10.233296394348145,0,0,0,16816.0,0,0,0,0,0,1730,1800,4900,1100,5000
51,16731.0,0,16731.0,8.895538330078125,0,0,0,16731.0,0,0,0,0,0,1730,1800,4800,1100,5000
52,16731.0,0,16731.0,11.00031304359436,0,0,0,16731.0,0,0,0,0,0,1730,1800,4800,1100,5000
53,16731.0,0,16731.0,8.919920921325684,0,0,0,16731.0,0,0,0,0,0,1730,1800,4800,1100,5000
54,16738.0,0,16738.0,10.051252841949463,0,0,0,16738.0,0,0,0,0,0,1730,1800,4800,1100,5000
55,16596.0,0,16596.0,10.406270980834961,0,0,0,16596.0,0,0,0,0,0,1730,1800,4800,1000,5000
56,16666.0,0,16666.0,9.647047519683838,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
57,16666.0,0,16666.0,8.659853458404541,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
58,16666.0,0,16666.0,8.210129022598267,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
59,16666.0,0,16666.0,8.44075870513916,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
60,16666.0,0,16666.0,8.923658609390259,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
61,16666.0,0,16666.0,13.84596586227417,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
62,16666.0,0,16666.0,8.458039283752441,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
63,16666.0,0,16666.0,8.316186666488647,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
64,16666.0,0,16666.0,9.532365798950195,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
65,16666.0,0,16666.0,7.788223028182983,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
66,16666.0,0,16666.0,7.921857118606567,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
67,16666.0,0,16666.0,9.91991400718689,0,0,0,16666.0,0,0,0,0,0,1720,1760,4800,1100,5000
68,16611.0,0,16611.0,9.783607721328735,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
69,16611.0,0,16611.0,9.260542154312134,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
70,16611.0,0,16611.0,8.721125841140747,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
71,16611.0,0,16611.0,8.397924900054932,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
72,16611.0,0,16611.0,8.129764556884766,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
73,16611.0,0,16611.0,10.548801183700562,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
74,16611.0,0,16611.0,8.91278862953186,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
75,16611.0,0,16611.0,8.838325500488281,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
76,16611.0,0,16611.0,7.890477180480957,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
77,16611.0,0,16611.0,7.430029630661011,0,0,0,16611.0,0,0,0,0,0,1720,1840,4800,1000,5000
78,16657.25,0,16657.25,9.625766515731812,0,0,0,16657.25,0,0,0,0,0,1720,1880,4800,1000,5000
79,16374.0,0,16374.0,9.599859476089478,0,0,0,16374.0,0,0,0,0,0,1730,1800,4600,1000,5000
80,11397.25,0,11397.25,8.917720317840576,0,0,0,11397.25,0,0,0,0,0,1730,1800,4700,1000,0
81,11231.0,0,11231.0,7.5643370151519775,0,0,0,11231.0,0,0,0,0,0,1740,1840,4600,1000,0
82,11143.0,0,11143.0,7.18132758140564,0,0,0,11143.0,0,0,0,0,0,1740,1840,4500,1000,0
83,11143.0,0,11143.0,8.52588415145874,0,0,0,11143.0,0,0,0,0,0,1740,1840,4500,1000,0
84,11143.0,0,11143.0,8.161394834518433,0,0,0,11143.0,0,0,0,0,0,1740,1840,4500,1000,0
85,11143.0,0,11143.0,8.742842674255371,0,0,0,11143.0,0,0,0,0,0,1740,1840,4500,1000,0
86,11136.0,0,11136.0,10.572252035140991,0,0,0,11136.0,0,0,0,0,0,1740,1840,4500,1000,0
87,11153.5,0,11153.5,11.700035095214844,0,0,0,11153.5,0,0,0,0,0,1740,1840,4500,1000,0
88,11040.5,0,11040.5,10.31922197341919,0,0,0,11040.5,0,0,0,0,0,1730,1800,4600,1000,0
89,11040.5,0,11040.5,7.448265552520752,0,0,0,11040.5,0,0,0,0,0,1730,1800,4600,1000,0
90,11040.5,0,11040.5,8.890438795089722,0,0,0,11040.5,0,0,0,0,0,1730,1800,4600,1000,0
91,11070.5,0,11070.5,10.905987024307251,0,0,0,11070.5,0,0,0,0,0,1740,1840,4500,1000,0
92,11070.5,0,11070.5,9.796638250350952,0,0,0,11070.5,0,0,0,0,0,1740,1840,4500,1000,0
93,10857.5,0,10857.5,7.295421361923218,0,0,0,10857.5,0,0,0,0,0,1730,1840,4400,900,0
94,10805.5,0,10805.5,8.83975601196289,0,0,0,10805.5,0,0,0,0,0,1730,1800,4400,900,0
95,10805.5,0,10805.5,11.708820581436157,0,0,0,10805.5,0,0,0,0,0,1730,1800,4400,900,0
96,10805.5,0,10805.5,9.646340608596802,0,0,0,10805.5,0,0,0,0,0,1730,1800,4400,900,0
97,10805.5,0,10805.5,8.882463693618774,0,0,0,10805.5,0,0,0,0,0,1730,1800,4400,900,0
98,10792.5,0,10792.5,9.77211308479309,0,0,0,10792.5,0,0,0,0,0,1730,1800,4400,900,0
99,10792.5,0,10792.5,7.969645023345947,0,0,0,10792.5,0,0,0,0,0,1730,1800,4400,900,0
100,10750.5,0,10750.5,8.483344554901123,0,0,0,10750.5,0,0,0,0,0,1730,1760,4400,900,0
101,10750.5,0,10750.5,7.550267934799194,0,0,0,10750.5,0,0,0,0,0,1730,1760,4400,900,0
102,10740.5,0,10740.5,8.306511402130127,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
103,10740.5,0,10740.5,8.27364730834961,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
104,10740.5,0,10740.5,8.273295640945435,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
105,10740.5,0,10740.5,7.2534019947052,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
106,10740.5,0,10740.5,8.034411907196045,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
107,10740.5,0,10740.5,7.840347051620483,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
108,10740.5,0,10740.5,7.182775497436523,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
109,10740.5,0,10740.5,8.2627112865448,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
110,10740.5,0,10740.5,7.672289609909058,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
111,10740.5,0,10740.5,7.434344291687012,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
112,10740.5,0,10740.5,8.09972095489502,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
113,10740.5,0,10740.5,8.031036853790283,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
114,10740.5,0,10740.5,7.703335762023926,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
115,10740.5,0,10740.5,8.588291645050049,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
116,10740.5,0,10740.5,7.92847204208374,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
117,10740.5,0,10740.5,8.122967958450317,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
118,10740.5,0,10740.5,7.455426931381226,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
119,10740.5,0,10740.5,8.948106527328491,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
120,10740.5,0,10740.5,7.737531900405884,0,0,0,10740.5,0,0,0,0,0,1720,1760,4400,900,0
