gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,39042229.0,39,42229.0,6.220062971115112,0,0,39,42229.0,0,15,24,0,0,3720,0,8600,0,29000
2,19045490.5,19,45490.5,7.199181079864502,0,0,19,45490.5,0,11,8,0,0,3140,0,8700,0,32000
3,13044520.5,13,44520.5,8.135211944580078,0,0,13,44520.5,0,7,6,0,0,3460,0,7800,0,32000
4,8044338.5,8,44338.5,9.655696630477905,0,0,8,44338.5,0,1,7,0,0,3350,0,8000,0,32000
5,6041005.5,6,41005.5,8.875692367553711,0,0,6,41005.5,0,3,3,0,0,3590,0,8400,0,28000
6,2038118.5,2,38118.5,8.10261583328247,0,0,2,38118.5,0,1,1,0,0,3920,0,8200,0,25000
7,2036926.0,2,36926.0,7.500737428665161,0,0,2,36926.0,0,1,1,0,0,3920,0,8100,0,24000
8,33634.0,0,33634.0,8.331171035766602,0,0,0,33634.0,0,0,0,0,0,3790,0,8200,0,21000
9,31632.75,0,31632.75,9.763097524642944,0,0,0,31632.75,0,0,0,0,0,3340,0,7700,0,20000
10,29553.0,0,29553.0,6.489101886749268,0,0,0,29553.0,0,0,0,0,0,3120,0,7600,0,18000
11,27530.5,0,27530.5,8.029942274093628,0,0,0,27530.5,0,0,0,0,0,3090,0,7600,0,16000
12,26663.0,0,26663.0,7.471227407455444,0,0,0,26663.0,0,0,0,0,0,3090,0,7700,0,15000
13,24412.5,0,24412.5,7.25952935218811,0,0,0,24412.5,0,0,0,0,0,3040,0,7500,0,13000
14,24135.0,0,24135.0,7.7165257930755615,0,0,0,24135.0,0,0,0,0,0,2670,0,7500,0,13000
15,23857.5,0,23857.5,7.938569068908691,0,0,0,23857.5,0,0,0,0,0,2550,0,7300,0,13000
16,22659.0,0,22659.0,11.737117767333984,0,0,0,22659.0,0,0,0,0,0,2540,0,7300,0,12000
17,21578.25,0,21578.25,9.780504941940308,0,0,0,21578.25,0,0,0,0,0,2540,0,7300,0,11000
18,21208.25,0,21208.25,8.334916114807129,0,0,0,21208.25,0,0,0,0,0,2390,0,7000,0,11000
19,20455.25,0,20455.25,7.398047924041748,0,0,0,20455.25,0,0,0,0,0,2530,0,7300,0,10000
20,18705.25,0,18705.25,9.455758571624756,0,0,0,18705.25,0,0,0,0,0,1970,0,6800,0,9000
21,18705.25,0,18705.25,10.619986057281494,0,0,0,18705.25,0,0,0,0,0,1970,0,6800,0,9000
22,18425.75,0,18425.75,6.406282424926758,0,0,0,18425.75,0,0,0,0,0,2110,0,6700,0,9000
23,18310.75,0,18310.75,8.04776406288147,0,0,0,18310.75,0,0,0,0,0,2110,0,6600,0,9000
24,18291.25,0,18291.25,9.641510009765625,0,0,0,18291.25,0,0,0,0,0,2100,0,6500,0,9000
25,17208.25,0,17208.25,5.576455116271973,0,0,0,17208.25,0,0,0,0,0,2100,0,6500,0,8000
26,17188.25,0,17188.25,5.992267847061157,0,0,0,17188.25,0,0,0,0,0,2080,0,6500,0,8000
27,16150.25,0,16150.25,8.408657312393188,0,0,0,16150.25,0,0,0,0,0,2060,0,6600,0,7000
28,16147.75,0,16147.75,6.671703338623047,0,0,0,16147.75,0,0,0,0,0,2060,0,6600,0,7000
29,15980.25,0,15980.25,6.3224968910217285,0,0,0,15980.25,0,0,0,0,0,2090,0,6400,0,7000
30,15355.25,0,15355.25,5.968958139419556,0,0,0,15355.25,0,0,0,0,0,2150,0,6700,0,6000
31,15187.75,0,15187.75,5.122844219207764,0,0,0,15187.75,0,0,0,0,0,2180,0,6500,0,6000
32,15170.25,0,15170.25,5.977104663848877,0,0,0,15170.25,0,0,0,0,0,2230,0,6400,0,6000
33,14439.75,0,14439.75,7.786970376968384,0,0,0,14439.75,0,0,0,0,0,2210,0,6400,0,5000
34,14419.75,0,14419.75,6.737671375274658,0,0,0,14419.75,0,0,0,0,0,2190,0,6400,0,5000
35,14419.75,0,14419.75,14.409059047698975,0,0,0,14419.75,0,0,0,0,0,2190,0,6400,0,5000
36,14309.75,0,14309.75,14.421075582504272,0,0,0,14309.75,0,0,0,0,0,2080,0,6400,0,5000
37,14184.75,0,14184.75,10.353992223739624,0,0,0,14184.75,0,0,0,0,0,1860,0,6400,0,5000
38,14184.75,0,14184.75,7.873366117477417,0,0,0,14184.75,0,0,0,0,0,1860,0,6400,0,5000
39,14154.75,0,14154.75,7.183469533920288,0,0,0,14154.75,0,0,0,0,0,1830,0,6400,0,5000
40,14102.25,0,14102.25,7.0848305225372314,0,0,0,14102.25,0,0,0,0,0,1880,0,6500,0,5000
41,13953.25,0,13953.25,6.690290451049805,0,0,0,13953.25,0,0,0,0,0,1840,0,6400,0,5000
42,13912.25,0,13912.25,8.713089942932129,0,0,0,13912.25,0,0,0,0,0,1820,0,6400,0,5000
43,13912.25,0,13912.25,6.817806005477905,0,0,0,13912.25,0,0,0,0,0,1820,0,6400,0,5000
44,13881.25,0,13881.25,5.411026477813721,0,0,0,13881.25,0,0,0,0,0,1750,0,6400,0,5000
45,13881.25,0,13881.25,9.090281963348389,0,0,0,13881.25,0,0,0,0,0,1750,0,6400,0,5000
46,12973.75,0,12973.75,7.7588396072387695,0,0,0,12973.75,0,0,0,0,0,1750,0,6400,0,4000
47,12896.25,0,12896.25,6.504348278045654,0,0,0,12896.25,0,0,0,0,0,1570,0,6500,0,4000
48,12896.25,0,12896.25,9.513795852661133,0,0,0,12896.25,0,0,0,0,0,1570,0,6500,0,4000
49,12826.25,0,12826.25,7.039767265319824,0,0,0,12826.25,0,0,0,0,0,1600,0,6400,0,4000
50,12751.25,0,12751.25,8.885452270507812,0,0,0,12751.25,0,0,0,0,0,1610,0,6300,0,4000
51,12684.75,0,12684.75,7.559122562408447,0,0,0,12684.75,0,0,0,0,0,1580,0,6300,0,4000
52,12587.25,0,12587.25,8.802829504013062,0,0,0,12587.25,0,0,0,0,0,1580,0,6200,0,4000
53,12542.25,0,12542.25,8.355305671691895,0,0,0,12542.25,0,0,0,0,0,1550,0,6200,0,4000
54,12444.75,0,12444.75,7.588098764419556,0,0,0,12444.75,0,0,0,0,0,1550,0,6100,0,4000
55,12434.75,0,12434.75,6.797226190567017,0,0,0,12434.75,0,0,0,0,0,1540,0,6100,0,4000
56,12347.25,0,12347.25,7.2025182247161865,0,0,0,12347.25,0,0,0,0,0,1540,0,6000,0,4000
57,12339.75,0,12339.75,5.413522958755493,0,0,0,12339.75,0,0,0,0,0,1640,0,5900,0,4000
58,12332.25,0,12332.25,6.583738803863525,0,0,0,12332.25,0,0,0,0,0,1540,0,6000,0,4000
59,12332.25,0,12332.25,5.372222185134888,0,0,0,12332.25,0,0,0,0,0,1540,0,6000,0,4000
60,12324.75,0,12324.75,6.213733196258545,0,0,0,12324.75,0,0,0,0,0,1640,0,5900,0,4000
61,12324.75,0,12324.75,6.4399261474609375,0,0,0,12324.75,0,0,0,0,0,1640,0,5900,0,4000
62,12307.25,0,12307.25,4.948198318481445,0,0,0,12307.25,0,0,0,0,0,1550,0,5900,0,4000
63,12307.25,0,12307.25,5.758471965789795,0,0,0,12307.25,0,0,0,0,0,1550,0,5900,0,4000
