gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,6086146.5,6,86146.5,83.31031155586243,97.18367346938776,111089800.8,6,86146.5,0,6,0,0,0,3150,1960,7600,1000,70000
2,80867.75,0,80867.75,47.23756670951843,91.51020408163264,74379997.03333333,0,80867.75,0,0,0,0,0,2850,2040,7100,1300,65000
3,75780.5,0,75780.5,48.62760376930237,91.0612244897959,60185178.96666667,0,75780.5,0,0,0,0,0,2730,2080,7000,1400,60000
4,70550.5,0,70550.5,50.62947416305542,91.63265306122449,58776346.016666666,0,70550.5,0,0,0,0,0,2740,1960,6700,1600,55000
5,49416.5,0,49416.5,48.186814308166504,79.3469387755102,31185919.875,0,49416.5,0,0,0,0,0,2470,1880,6100,1400,35000
6,49151.0,0,49151.0,54.41591930389404,80.77551020408163,33113635.025,0,49151.0,0,0,0,0,0,2250,1760,6100,1500,35000
7,44032.75,0,44032.75,52.44566249847412,81.46938775510205,33348930.358333334,0,44032.75,0,0,0,0,0,2470,1680,6100,1500,30000
8,34301.75,0,34301.75,51.79577851295471,72.0,24216111.233333334,0,34301.75,0,0,0,0,0,2710,1920,6100,1400,20000
9,39240.25,0,39240.25,49.2207465171814,59.0204081632653,16582076.083333334,0,39240.25,0,0,0,0,0,2480,1840,6100,1600,25000
10,39240.25,0,39240.25,52.330782651901245,60.16326530612245,19078159.608333334,0,39240.25,0,0,0,0,0,2480,1840,6100,1600,25000
11,28926.5,0,28926.5,49.07425403594971,56.897959183673464,12411828.325,0,28926.5,0,0,0,0,0,2210,1800,6100,1300,15000
12,28926.5,0,28926.5,49.169626235961914,69.67346938775512,21610681.683333334,0,28926.5,0,0,0,0,0,2210,1800,6100,1300,15000
13,28793.5,0,28793.5,47.74504637718201,65.42857142857142,25708013.083333332,0,28793.5,0,0,0,0,0,2230,1840,6100,1300,15000
14,23500.0,0,23500.0,51.04855823516846,65.83673469387755,24176421.45,0,23500.0,0,0,0,0,0,2220,1840,6100,1200,10000
15,23508.0,0,23508.0,49.002281188964844,66.85714285714286,22903844.983333334,0,23508.0,0,0,0,0,0,2210,1800,6100,1300,10000
16,23415.5,0,23415.5,48.71618962287903,56.48979591836735,20041315.275,0,23415.5,0,0,0,0,0,2110,1840,6100,1300,10000
17,23429.5,0,23429.5,48.537500619888306,61.755102040816325,22606821.675,0,23429.5,0,0,0,0,0,2110,1800,6100,1300,10000
18,23429.5,0,23429.5,47.01959300041199,60.816326530612244,21403381.25,0,23429.5,0,0,0,0,0,2110,1800,6100,1300,10000
19,23013.0,0,23013.0,52.2230007648468,62.65306122448979,22241890.333333332,0,23013.0,0,0,0,0,0,1840,1720,6100,1200,10000
20,22955.75,0,22955.75,52.37037777900696,57.14285714285715,16742796.383333333,0,22955.75,0,0,0,0,0,1840,1680,6100,1200,10000
21,22955.75,0,22955.75,50.94469904899597,35.755102040816325,7783170.3,0,22955.75,0,0,0,0,0,1840,1680,6100,1200,10000
22,17343.0,0,17343.0,49.880598306655884,47.26530612244898,12111797.116666667,0,17343.0,0,0,0,0,0,1820,1760,5700,1100,5000
23,17331.75,0,17331.75,51.28146934509277,47.55102040816326,13841425.541666666,0,17331.75,0,0,0,0,0,1820,1760,5700,1100,5000
24,17108.75,0,17108.75,48.938294649124146,41.18367346938775,13210790.275,0,17108.75,0,0,0,0,0,1670,1760,5700,1000,5000
25,17631.75,0,17631.75,51.523574113845825,62.16326530612244,14974107.141666668,0,17631.75,0,0,0,0,0,1710,1760,6100,1000,5000
26,17528.75,0,17528.75,49.423062324523926,48.08163265306122,13211070.608333332,0,17528.75,0,0,0,0,0,1680,1760,5900,1100,5000
27,17528.75,0,17528.75,50.46513485908508,50.0,13308779.033333333,0,17528.75,0,0,0,0,0,1680,1760,5900,1100,5000
28,17476.25,0,17476.25,52.6260199546814,54.489795918367335,15541198.216666667,0,17476.25,0,0,0,0,0,1670,1840,5700,1100,5000
29,17174.25,0,17174.25,50.30567765235901,54.204081632653065,14572441.275,0,17174.25,0,0,0,0,0,1670,1720,5600,1000,5000
30,17231.25,0,17231.25,54.15712809562683,50.08163265306121,14340477.825,0,17231.25,0,0,0,0,0,1670,1880,5500,1000,5000
31,17201.25,0,17201.25,49.884957790374756,41.183673469387756,12642255.883333333,0,17201.25,0,0,0,0,0,1660,1840,5500,1000,5000
32,17026.75,0,17026.75,50.49573111534119,38.48979591836735,8449851.858333332,0,17026.75,0,0,0,0,0,1660,1760,5500,1000,5000
33,16808.75,0,16808.75,49.74217653274536,42.36734693877551,11210907.566666666,0,16808.75,0,0,0,0,0,1680,1760,5300,1000,5000
34,16762.25,0,16762.25,55.34975528717041,52.0,13710797.9,0,16762.25,0,0,0,0,0,1700,1680,5200,1200,5000
35,16761.0,0,16761.0,50.04836893081665,62.89795918367346,17405536.641666666,0,16761.0,0,0,0,0,0,1700,1680,5200,1200,5000
36,16601.0,0,16601.0,49.0914990901947,64.73469387755102,19740703.5,0,16601.0,0,0,0,0,0,1700,1720,5000,1200,5000
37,16633.5,0,16633.5,53.58693766593933,54.653061224489804,16674646.383333333,0,16633.5,0,0,0,0,0,1690,1760,5000,1200,5000
38,16499.5,0,16499.5,50.483970403671265,52.28571428571429,13278900.441666666,0,16499.5,0,0,0,0,0,1690,1720,4900,1200,5000
