gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,3072377.0,3,72377.0,80.23810648918152,97.79591836734693,110049771.33333333,3,72377.0,0,2,0,1,0,3470,1640,7900,1400,55000
2,1056499.5,1,56499.5,72.8098213672638,96.97959183673468,86680890.64166667,1,56499.5,0,1,0,0,0,3620,1600,7300,1400,40000
3,55478.25,0,55478.25,63.32744574546814,90.61224489795919,70620838.00833334,0,55478.25,0,0,0,0,0,3660,1640,6600,1200,40000
4,49556.75,0,49556.75,71.6885199546814,86.53061224489797,48921896.7,0,49556.75,0,0,0,0,0,2980,1400,6500,1300,35000
5,39545.75,0,39545.75,69.34538722038269,89.22448979591836,39253704.2,0,39545.75,0,0,0,0,0,3030,1480,6500,1200,25000
6,38947.75,0,38947.75,65.46738696098328,83.83673469387756,51115644.708333336,0,38947.75,0,0,0,0,0,2830,1480,6100,1100,25000
7,28904.75,0,28904.75,67.90852069854736,85.34693877551021,40217094.19166667,0,28904.75,0,0,0,0,0,2930,1520,6100,1000,15000
8,22941.5,0,22941.5,64.25467467308044,83.55102040816327,42013201.891666666,0,22941.5,0,0,0,0,0,2400,1440,5700,900,10000
9,22671.5,0,22671.5,68.27750253677368,74.73469387755102,39451169.31666667,0,22671.5,0,0,0,0,0,2400,1480,5500,800,10000
10,22242.0,0,22242.0,65.8772201538086,76.28571428571428,39976804.083333336,0,22242.0,0,0,0,0,0,2070,1320,5400,800,10000
11,17500.0,0,17500.0,65.36181354522705,84.3673469387755,37415823.69166667,0,17500.0,0,0,0,0,0,2210,1360,5600,700,5000
12,16913.0,0,16913.0,67.4822449684143,74.73469387755102,40744703.641666666,0,16913.0,0,0,0,0,0,1970,1320,5500,900,5000
13,12243.0,0,12243.0,69.94564294815063,73.22448979591837,26748192.041666668,0,12243.0,0,0,0,0,0,2170,1360,5500,800,0
14,11719.0,0,11719.0,69.91645407676697,62.653061224489804,21681243.6,0,11719.0,0,0,0,0,0,1780,1200,5400,800,0
15,11704.0,0,11704.0,66.45148730278015,71.83673469387755,26911112.691666666,0,11704.0,0,0,0,0,0,1780,1200,5400,800,0
16,11704.0,0,11704.0,64.16037034988403,81.51020408163265,38645570.05,0,11704.0,0,0,0,0,0,1780,1200,5400,800,0
17,11526.5,0,11526.5,63.475539684295654,82.08163265306123,44346640.608333334,0,11526.5,0,0,0,0,0,1700,1200,5300,800,0
18,11280.5,0,11280.5,66.73489570617676,90.89795918367346,50783660.6,0,11280.5,0,0,0,0,0,1570,1160,5200,800,0
19,11048.5,0,11048.5,64.5396556854248,91.10204081632652,47948512.30833333,0,11048.5,0,0,0,0,0,1760,1240,4800,800,0
20,11048.5,0,11048.5,68.58604049682617,83.87755102040816,55645389.6,0,11048.5,0,0,0,0,0,1760,1240,4800,800,0
21,10934.75,0,10934.75,65.77762627601624,79.42857142857143,36785277.30833333,0,10934.75,0,0,0,0,0,1680,1160,4800,800,0
22,10891.0,0,10891.0,67.81593489646912,55.79591836734694,23614412.025,0,10891.0,0,0,0,0,0,1760,1240,4700,800,0
23,10552.5,0,10552.5,68.23074340820312,54.530612244897966,21546027.058333334,0,10552.5,0,0,0,0,0,1560,1160,4700,800,0
24,10552.5,0,10552.5,64.95876336097717,66.0,26547979.716666665,0,10552.5,0,0,0,0,0,1560,1160,4700,800,0
25,10297.5,0,10297.5,63.23175859451294,54.69387755102041,25982713.283333335,0,10297.5,0,0,0,0,0,1570,1120,4500,800,0
26,10212.5,0,10212.5,70.52312517166138,41.142857142857146,16919753.125,0,10212.5,0,0,0,0,0,1440,1120,4500,800,0
27,10192.0,0,10192.0,72.05312395095825,35.87755102040816,8020530.941666666,0,10192.0,0,0,0,0,0,1590,1160,4500,800,0
28,10045.5,0,10045.5,67.66413021087646,49.183673469387756,14515737.008333333,0,10045.5,0,0,0,0,0,1490,1120,4500,800,0
29,9913.0,0,9913.0,66.16036581993103,53.102040816326536,15547456.0,0,9913.0,0,0,0,0,0,1350,1120,4400,800,0
30,9588.0,0,9588.0,63.87511372566223,53.55102040816326,16516644.041666666,0,9588.0,0,0,0,0,0,1230,1160,4300,700,0
31,9579.0,0,9579.0,66.35439467430115,66.73469387755101,22847650.891666666,0,9579.0,0,0,0,0,0,1090,1040,4400,800,0
32,9565.5,0,9565.5,73.9149854183197,61.591836734693864,20146769.183333334,0,9565.5,0,0,0,0,0,1230,1160,4300,700,0
33,9553.0,0,9553.0,65.95915603637695,60.32653061224489,16217283.541666666,0,9553.0,0,0,0,0,0,1230,1160,4300,700,0
34,9538.5,0,9538.5,66.90732836723328,50.57142857142858,11921823.941666666,0,9538.5,0,0,0,0,0,1260,1200,4200,700,0
35,9418.0,0,9418.0,63.820011377334595,19.387755102040817,3193283.4166666665,0,9418.0,0,0,0,0,0,1120,1120,4300,700,0
36,9418.0,0,9418.0,72.49883699417114,17.46938775510204,2294988.1083333334,0,9418.0,0,0,0,0,0,1120,1120,4300,700,0
37,9393.0,0,9393.0,68.28024053573608,13.26530612244898,3527494.6,0,9393.0,0,0,0,0,0,1110,1120,4300,700,0
38,9393.0,0,9393.0,66.02816796302795,25.469387755102048,5288977.216666667,0,9393.0,0,0,0,0,0,1110,1120,4300,700,0
39,9390.0,0,9390.0,67.62436318397522,30.653061224489797,5523215.6,0,9390.0,0,0,0,0,0,1120,1120,4200,700,0
40,9289.0,0,9289.0,75.08894062042236,29.510204081632647,4924330.533333333,0,9289.0,0,0,0,0,0,990,1120,4300,700,0
41,9206.5,0,9206.5,67.36293649673462,26.48979591836735,7224367.283333333,0,9206.5,0,0,0,0,0,990,1080,4200,700,0
42,8987.5,0,8987.5,71.87409138679504,31.591836734693878,5425300.533333333,0,8987.5,0,0,0,0,0,910,1040,4200,700,0
43,8987.5,0,8987.5,64.68264150619507,43.63265306122449,13584324.633333333,0,8987.5,0,0,0,0,0,910,1040,4200,700,0
44,8987.5,0,8987.5,66.01101589202881,44.081632653061234,14683608.291666666,0,8987.5,0,0,0,0,0,910,1040,4200,700,0
45,8865.5,0,8865.5,73.64425730705261,50.36734693877551,15919515.866666667,0,8865.5,0,0,0,0,0,920,1000,4100,700,0
46,8830.0,0,8830.0,65.69514560699463,56.32653061224489,16217769.933333334,0,8830.0,0,0,0,0,0,890,1000,4100,700,0
47,8623.0,0,8623.0,66.36129093170166,56.85714285714285,18282851.691666666,0,8623.0,0,0,0,0,0,740,920,4100,700,0
48,8623.0,0,8623.0,67.82359075546265,69.22448979591836,19652080.533333335,0,8623.0,0,0,0,0,0,740,920,4100,700,0
49,8603.0,0,8603.0,65.18588137626648,62.48979591836734,21481257.566666666,0,8603.0,0,0,0,0,0,680,960,4100,700,0
50,8487.0,0,8487.0,65.63346338272095,66.0408163265306,17882120.391666666,0,8487.0,0,0,0,0,0,590,920,4000,800,0
51,8337.0,0,8337.0,68.82726740837097,50.12244897959184,16618716.808333334,0,8337.0,0,0,0,0,0,490,920,3900,900,0
52,8337.0,0,8337.0,67.46515202522278,57.714285714285715,14151808.541666666,0,8337.0,0,0,0,0,0,490,920,3900,900,0
53,8314.0,0,8314.0,69.63024139404297,54.204081632653065,17814907.291666668,0,8314.0,0,0,0,0,0,490,880,3900,900,0
54,8311.5,0,8311.5,64.56378865242004,56.285714285714285,17417207.508333333,0,8311.5,0,0,0,0,0,490,880,3900,900,0
55,8311.5,0,8311.5,63.770405292510986,57.75510204081632,18617512.083333332,0,8311.5,0,0,0,0,0,490,880,3900,900,0
56,8294.0,0,8294.0,67.62898111343384,34.734693877551024,9291406.141666668,0,8294.0,0,0,0,0,0,490,840,3900,900,0
57,8264.5,0,8264.5,67.06014657020569,27.918367346938783,8891436.591666667,0,8264.5,0,0,0,0,0,450,880,3900,800,0
58,8264.5,0,8264.5,65.67310190200806,33.877551020408156,5591902.891666667,0,8264.5,0,0,0,0,0,450,880,3900,800,0
59,8264.5,0,8264.5,66.64904260635376,25.55102040816327,7824247.441666666,0,8264.5,0,0,0,0,0,450,880,3900,800,0
60,8204.5,0,8204.5,63.780373334884644,34.89795918367348,8321741.683333334,0,8204.5,0,0,0,0,0,450,920,3800,800,0
61,8204.5,0,8204.5,66.68205070495605,52.28571428571428,14347617.191666666,0,8204.5,0,0,0,0,0,450,920,3800,800,0
