section,semester,module,teacher
GP,S1,ALGORITHMIQUE ET PROGRAMMATION 1,BOURKOUKOU Othman
GI,S1,ALGORITHMIQUE ET PROGRAMMATION 1,BOURKOUKOU Othman
MSD,S1,ALGORITHMIQUE ET PROGRAMMATION 1,BOURKOUKOU Othman
GES,S1,ALGORITHMIQUE ET PROGRAMMATION 1,BOURKOUKOU Othman
GC,S1,ALGORITHMIQUE ET PROGRAMMATION 1,BOURKOUKOU Othman
GP,S1,ANALYSE 1,AYOUCH  Chahid
GI,S1,ANALYSE 1,AYOUCH  Chahid
MSD,S1,ANALYSE 1,AYOUCH  Chahid
GES,S1,ANALYSE 1,AYOUCH  Chahid
GC,S1,ANALYSE 1,AYOUCH  Chahid
GP,S1,ALGÈBRE 1,KREIT Karim
GI,S1,ALGÈBRE 1,KREIT Karim
MSD,S1,ALGÈBRE 1,KREIT Karim
GES,S1,ALGÈBRE 1,KREIT Karim
GC,S1,ALGÈBRE 1,KREIT Karim
MSD,S1,ELECTRICITE,HAJJI Lahoucine
GES,S1,ELECTRICITE,HAJJI Lahoucine
GC,S1,ELECTRICITE,HAJJI Lahoucine
MSD,S1,CIRCUITS ELECTRIQUE ET ELECTRONIQUE,IBANNAIN Mohamed
GES,S1,CIRCUITS ELECTRIQUE ET ELECTRONIQUE,IBANNAIN Mohamed
GC,S1,CIRCUITS ELECTRIQUE ET ELECTRONIQUE,IBANNAIN Mohamed
GP,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
GI,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
MSD,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
GES,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
GC,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
GB,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
GEG,S1,METHODOLOGIE DE TRAVAIL UNIVERSITAIRE,RHATAY Khadija
MSD,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,El HASNAOUI Nadia
GES,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,El HASNAOUI Nadia
GC,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,El HASNAOUI Nadia
GB,S1,BIOLOGIE CELLULIARE,BOUAMAMA Hafida
GEG,S1,BIOLOGIE CELLULIARE,BOUAMAMA Hafida
GB,S1,STRUCTURE ET ÉTAT DE LA MATIÈRE,BELKYAL Imane
GEG,S1,STRUCTURE ET ÉTAT DE LA MATIÈRE,BELKYAL Imane
GB,S1,COSMOLOGIE ET GÉODYNAMIQUE INTERNE,BOUMAGGARD El hassane
GEG,S1,COSMOLOGIE ET GÉODYNAMIQUE INTERNE,BOUMAGGARD El hassane
GB,S1,ANALYSE/ ALGÈBRE,KHIRI Rachid
GEG,S1,ANALYSE/ ALGÈBRE,KHIRI Rachid
GB,S1,OPTIQUE ET RADIOACTIVITÉ,MIMOUNI Zineb
GEG,S1,OPTIQUE ET RADIOACTIVITÉ,MIMOUNI Zineb
GP,S1,MECANIQUE DU POINT MATERIEL ET OPTIQUE GEOMETRIQUE,EL MOTASSEDK Abdellah
GI,S1,MECANIQUE DU POINT MATERIEL ET OPTIQUE GEOMETRIQUE,EL MOTASSEDK Abdellah
GP,S1,THERMODYNAMIQUE,ERRAMLI ABDELLAH
GI,S1,THERMODYNAMIQUE,ERRAMLI ABDELLAH
GB,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,MAHIR Khaddouj
GEG,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,MAHIR Khaddouj
GP,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,BELLANI Naima
GI,S1,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 FRANÇAIS,BELLANI Naima
GP,S2,STRUCTURE DE LA MATIERE,MANSOURI Mohammed
GI,S2,STRUCTURE DE LA MATIERE,MANSOURI Mohammed
MSD,S2,STRUCTURE DE LA MATIERE,MANSOURI Mohammed
GES,S2,STRUCTURE DE LA MATIERE,MANSOURI Mohammed
GC,S2,STRUCTURE DE LA MATIERE,MANSOURI Mohammed
GP,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
GI,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
MSD,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
GES,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
GC,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
GB,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
GEG,S2,INTÉGRATION DES DIGITAL SKILLS ET INTELLIGENCE ARTIFICIELLE (CULTURE DIGITALE),OUAARAB Aziz
GP,S2,ALGEBRE 2,CHOUKRI  Khalid
GI,S2,ALGEBRE 2,CHOUKRI  Khalid
MSD,S2,ALGEBRE 2,CHOUKRI  Khalid
GES,S2,ALGEBRE 2,CHOUKRI  Khalid
GC,S2,ALGEBRE 2,CHOUKRI  Khalid
GP,S2,ANALYSE 2,ES SEBBAR  Brahim
GI,S2,ANALYSE 2,ES SEBBAR  Brahim
MSD,S2,ANALYSE 2,ES SEBBAR  Brahim
GES,S2,ANALYSE 2,ES SEBBAR  Brahim
GC,S2,ANALYSE 2,ES SEBBAR  Brahim
MSD,S2,MECANIQUE DU POINT MATERIEL ET OPTIQUE GEOMETRIQUE,ZRIOUEL Sanae
GES,S2,MECANIQUE DU POINT MATERIEL ET OPTIQUE GEOMETRIQUE,ZRIOUEL Sanae
GC,S2,MECANIQUE DU POINT MATERIEL ET OPTIQUE GEOMETRIQUE,ZRIOUEL Sanae
MSD,S2,THERMODYNAMIQUE,ER-RAKI Salah
GES,S2,THERMODYNAMIQUE,ER-RAKI Salah
GC,S2,THERMODYNAMIQUE,ER-RAKI Salah
GP,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
GI,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
MSD,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
GES,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
GC,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
GB,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
GEG,S2,LANGUES ET TECHNIQUES DE COMMUNICATION-LTC1 ANGLAIS,SADOUK  Leila
GB,S2,BIOLOGIE ANIMALE ET VÉGÉTALE,CHERIFI Ouafa
GEG,S2,BIOLOGIE ANIMALE ET VÉGÉTALE,CHERIFI Ouafa
GB,S2,RÉACTIVITÉ CHIMIQUE,EL MAKHFOUK Mohammed
GEG,S2,RÉACTIVITÉ CHIMIQUE,EL MAKHFOUK Mohammed
GB,S2,GÉODYNAMIQUE EXTERNE,IGMOULLAN Brahim
GEG,S2,GÉODYNAMIQUE EXTERNE,IGMOULLAN Brahim
GB,S2,BASES DES DONNÉES,ED-DAOUDI Rachid
GEG,S2,BASES DES DONNÉES,ED-DAOUDI Rachid
GB,S2,THERMODYNAMIQUE ET MÉCANIQUE DES FLUIDES,CHEHOUANI Hassan
GEG,S2,THERMODYNAMIQUE ET MÉCANIQUE DES FLUIDES,CHEHOUANI Hassan
GP,S2,ELECTRICITE,MDARHRI Ahmed
GI,S2,ELECTRICITE,MDARHRI Ahmed
GP,S2,CIRCUITS ELECTRIQUE ET ELECTRONIQUE,ELHICHOU Ahmed
GI,S2,CIRCUITS ELECTRIQUE ET ELECTRONIQUE,ELHICHOU Ahmed
GP,S3,ALGORITHMIQUE ET PROGRAMMATION 2,BANOUAR Oumayma
GI,S3,ALGORITHMIQUE ET PROGRAMMATION 2,BANOUAR Oumayma
MSD,S3,ALGORITHMIQUE ET PROGRAMMATION 2,BANOUAR Oumayma
GES,S3,ALGORITHMIQUE ET PROGRAMMATION 2,BANOUAR Oumayma
GP,S3,STATISTIQUE ET PROBABILITÉ SECTION1,METRANE Abdelmoutalib
GI,S3,STATISTIQUE ET PROBABILITÉ SECTION1,METRANE Abdelmoutalib
MSD,S3,STATISTIQUE ET PROBABILITÉ SECTION1,METRANE Abdelmoutalib
GES,S3,STATISTIQUE ET PROBABILITÉ SECTION1,METRANE Abdelmoutalib
GC,S3,STATISTIQUE ET PROBABILITÉ SECTION1,METRANE Abdelmoutalib
GP,S3,ELECTROMAGNÉTISME,BENYOUCEF Mustafa
GES,S3,ELECTROMAGNÉTISME,BENYOUCEF Mustafa
GES,S3,ELECTRONIQUE NUMÉRIQUE,AOUZALE Noureddine
GES,S3,ELECTRONIQUE ANALOGIQUE,CHITNALAH Ahmed
GP,S3,LANGUES ET TECHNIQUES DE COMMUNICATION LTC2 ANGLAIS,SADOUK  Leila
GI,S3,LANGUES ET TECHNIQUES DE COMMUNICATION LTC2 ANGLAIS,SADOUK  Leila
MSD,S3,LANGUES ET TECHNIQUES DE COMMUNICATION LTC2 ANGLAIS,SADOUK  Leila
GES,S3,LANGUES ET TECHNIQUES DE COMMUNICATION LTC2 ANGLAIS,SADOUK  Leila
