name,capacity,type
A1,400,AMPHI
A2,400,AMPHI
A4,400,AMPHI
S 16,48,SALLE
S 19,48,SALLE
S 20,48,SALLE
S 21,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A2,400,AMPHI
A4,400,AMPHI
S 19,48,SALLE
S 20,48,SALLE
S 21,48,SALLE
S 23,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
S 19,48,SALLE
S 21,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
A2,400,AMPHI
A4,400,AMPHI
S 19,48,SALLE
S 20,48,SALLE
S 21,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
A2,400,AMPHI
A3,240,AMPHI
S 23,90,SALLE
S 24,90,SALLE
S 27,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A2,400,AMPHI
A4,400,AMPHI
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
A2,400,AMPHI
S 23,90,SALLE
S 24,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
A2,400,AMPHI
A3,240,AMPHI
A4,400,AMPHI
S 19,48,SALLE
S 20,48,SALLE
S 21,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
A3,240,AMPHI
S 19,48,SALLE
S 23,90,SALLE
S 27,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A3,240,AMPHI
A4,400,AMPHI
S 21,48,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A4,400,AMPHI
S 21,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
A2,400,AMPHI
A3,240,AMPHI
A4,400,AMPHI
S 19,48,SALLE
S 20,48,SALLE
S 21,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
S 19,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A3,240,AMPHI
A2,400,AMPHI
S 19,48,SALLE
S 20,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
S 19,48,SALLE
S 23,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
A3,240,AMPHI
A4,400,AMPHI
S 16,48,SALLE
S 20,48,SALLE
S 23,90,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A2,400,AMPHI
A3,240,AMPHI
A4,400,AMPHI
S 19,48,SALLE
S 23,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
S 19,48,SALLE
S 20,48,SALLE
S 21,48,SALLE
S 24,90,SALLE
S 25,90,SALLE
S 26,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
S 23,90,SALLE
S 27,90,SALLE
S 28,90,SALLE
S 29,90,SALLE
S 30,90,SALLE
A1,400,AMPHI
A2,400,AMPHI
A3,240,AMPHI
A3,240,AMPHI
S6,48,SALLE
S9,48,SALLE
S10,48,SALLE
S17,48,SALLE
CH2,48,SALLE
S11,48,SALLE
S5,48,SALLE
GC2,48,SALLE
G2,48,SALLE
S12,48,SALLE
S14,48,SALLE
GC3,48,SALLE
S13,48,SALLE
S15,48,SALLE
S7,48,SALLE
S8,48,SALLE
CH1,48,SALLE
G1,48,SALLE
S18,48,SALLE
